date,session_key,driver_number,meeting_key,interval,gap_to_leader
2026-08-22T10:03:53.592000+00:00,11348,22,1292,0.288,4.973
2026-08-22T10:03:53.760000+00:00,11348,81,1292,0.297,1.982
2026-08-22T10:03:53.905000+00:00,11348,31,1292,0.321,5.294
2026-08-22T10:03:54.169000+00:00,11348,87,1292,0.253,5.547
2026-08-22T10:03:54.244000+00:00,11348,3,1292,0.431,2.413
2026-08-22T10:03:54.594000+00:00,11348,23,1292,0.414,5.961
2026-08-22T10:03:54.809000+00:00,11348,44,1292,0.606,3.019
2026-08-22T10:03:54.851000+00:00,11348,27,1292,0.28,6.241
2026-08-22T10:03:55.109000+00:00,11348,18,1292,0.241,6.482
2026-08-22T10:03:55.285000+00:00,11348,10,1292,0.491,3.51
2026-08-22T10:03:55.566000+00:00,11348,77,1292,0.445,6.927
2026-08-22T10:03:55.566000+00:00,11348,55,1292,4.363,10.868
2026-08-22T10:03:55.629000+00:00,11348,5,1292,0.344,3.854
2026-08-22T10:03:56.097000+00:00,11348,41,1292,0.465,4.319
2026-08-22T10:03:56.254000+00:00,11348,14,1292,0.71,11.578
2026-08-22T10:03:56.379000+00:00,11348,30,1292,0.271,4.59
2026-08-22T10:03:56.738000+00:00,11348,43,1292,0.384,4.974
2026-08-22T10:03:56.988000+00:00,11348,1,1292,0.941,0.941
2026-08-22T10:03:57.035000+00:00,11348,22,1292,0.298,5.272
2026-08-22T10:03:57.426000+00:00,11348,31,1292,0.387,5.659
2026-08-22T10:03:57.613000+00:00,11348,16,1292,0.595,1.536
2026-08-22T10:03:57.769000+00:00,11348,87,1292,0.324,5.983
2026-08-22T10:03:57.894000+00:00,11348,12,1292,0.305,1.841
2026-08-22T10:03:58.051000+00:00,11348,23,1292,0.306,6.289
2026-08-22T10:03:58.379000+00:00,11348,81,1292,0.478,2.319
2026-08-22T10:03:58.394000+00:00,11348,27,1292,0.354,6.643
2026-08-22T10:03:58.724000+00:00,11348,3,1292,0.306,2.625
2026-08-22T10:03:58.724000+00:00,11348,18,1292,0.274,6.917
2026-08-22T10:03:59.191000+00:00,11348,77,1292,0.506,7.423
2026-08-22T10:03:59.363000+00:00,11348,44,1292,0.669,3.294
2026-08-22T10:03:59.629000+00:00,11348,55,1292,4.077,11.004
2026-08-22T10:03:59.847000+00:00,11348,1,1292,1.071,1.071
2026-08-22T10:03:59.847000+00:00,11348,10,1292,0.531,3.825
2026-08-22T10:04:00.207000+00:00,11348,14,1292,0.577,11.581
2026-08-22T10:04:00.269000+00:00,11348,5,1292,0.393,4.218
2026-08-22T10:04:00.457000+00:00,11348,16,1292,0.588,1.659
2026-08-22T10:04:00.660000+00:00,11348,12,1292,0.219,1.878
2026-08-22T10:04:00.863000+00:00,11348,41,1292,0.603,4.821
2026-08-22T10:04:01.019000+00:00,11348,30,1292,0.155,4.976
2026-08-22T10:04:01.191000+00:00,11348,81,1292,0.539,2.417
2026-08-22T10:04:01.457000+00:00,11348,3,1292,0.266,2.683
2026-08-22T10:04:01.504000+00:00,11348,43,1292,0.485,5.461
2026-08-22T10:04:01.894000+00:00,11348,22,1292,0.358,5.819
2026-08-22T10:04:02.238000+00:00,11348,31,1292,0.381,6.2
2026-08-22T10:04:02.285000+00:00,11348,44,1292,0.83,3.513
2026-08-22T10:04:02.582000+00:00,11348,87,1292,0.294,6.494
2026-08-22T10:04:02.738000+00:00,11348,1,1292,1.162,1.162
2026-08-22T10:04:02.805000+00:00,11348,10,1292,0.519,4.032
2026-08-22T10:04:02.972000+00:00,11348,55,1292,3.799,11.222
2026-08-22T10:04:03.004000+00:00,11348,23,1292,0.49,6.984
2026-08-22T10:04:03.254000+00:00,11348,5,1292,0.448,4.48
