date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-03T17:04:44.019000+00:00,11280,1284,6.198,0.312,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.270000+00:00,11280,1284,6.437,0.239,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.421000+00:00,11280,1284,3.381,0.612,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.496000+00:00,11280,1284,6.654,0.217,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.688000+00:00,11280,1284,6.867,0.213,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.944000+00:00,11280,1284,7.12,0.253,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:44.958000+00:00,11280,1284,3.912,0.531,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:45.160000+00:00,11280,1284,4.137,0.225,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:45.211000+00:00,11280,1284,7.396,0.276,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:45.923000+00:00,11280,1284,8.098,0.702,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.126000+00:00,11280,1284,1.675,1.675,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.334000+00:00,11280,1284,8.52,0.422,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.363000+00:00,11280,1284,5.333,1.196,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.702000+00:00,11280,1284,8.873,0.353,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.718000+00:00,11280,1284,5.679,0.346,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.718000+00:00,11280,1284,2.256,0.581,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.769000+00:00,11280,1284,8.931,0.058,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:46.917000+00:00,11280,1284,5.881,0.202,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.021000+00:00,11280,1284,9.21,0.279,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.149000+00:00,11280,1284,2.671,0.415,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.251000+00:00,11280,1284,6.218,0.337,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.386000+00:00,11280,1284,9.567,0.357,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.453000+00:00,11280,1284,6.405,0.187,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.702000+00:00,11280,1284,6.647,0.242,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.717000+00:00,11280,1284,3.256,0.585,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:47.910000+00:00,11280,1284,6.874,0.227,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:48.219000+00:00,11280,1284,7.178,0.304,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:48.246000+00:00,11280,1284,3.79,0.534,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:48.479000+00:00,11280,1284,4.001,0.211,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:48.522000+00:00,11280,1284,7.465,0.287,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:48.817000+00:00,11280,1284,1.609,1.609,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:49.210000+00:00,11280,1284,8.133,0.668,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:49.360000+00:00,11280,1284,2.168,0.559,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:49.617000+00:00,11280,1284,8.596,0.463,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:49.765000+00:00,11280,1284,2.57,0.402,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:49.776000+00:00,11280,1284,5.303,1.302,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.071000+00:00,11280,1284,5.567,0.264,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.089000+00:00,11280,1284,9.003,0.407,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.200000+00:00,11280,1284,9.137,0.134,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.232000+00:00,11280,1284,5.773,0.206,55,2026-09-05T22:12:12.772471Z
