date,session_key,meeting_key,gap_to_leader,interval,driver_number
2026-06-14T13:04:29.775000+00:00,11307,1287,4.007,0.781,16
2026-06-14T13:04:29.868000+00:00,11307,1287,7.375,0.222,31
2026-06-14T13:04:30.056000+00:00,11307,1287,7.539,0.164,23
2026-06-14T13:04:30.165000+00:00,11307,1287,2.344,0.538,1
2026-06-14T13:04:30.259000+00:00,11307,1287,4.43,0.423,30
2026-06-14T13:04:30.353000+00:00,11307,1287,7.841,0.302,11
2026-06-14T13:04:30.650000+00:00,11307,1287,8.146,0.305,77
2026-06-14T13:04:30.775000+00:00,11307,1287,5.002,0.572,41
2026-06-14T13:04:30.978000+00:00,11307,1287,2.902,0.558,3
2026-06-14T13:04:31.071000+00:00,11307,1287,3.269,0.367,81
2026-06-14T13:04:31.228000+00:00,11307,1287,8.747,0.601,18
2026-06-14T13:04:31.275000+00:00,11307,1287,5.405,0.403,27
2026-06-14T13:04:31.415000+00:00,11307,1287,5.612,0.207,43
2026-06-14T13:04:31.868000+00:00,11307,1287,4.026,0.757,16
2026-06-14T13:04:31.993000+00:00,11307,1287,6.233,0.621,10
2026-06-14T13:04:32.259000+00:00,11307,1287,4.485,0.459,30
2026-06-14T13:04:32.353000+00:00,11307,1287,6.523,0.29,55
2026-06-14T13:04:32.853000+00:00,11307,1287,10.376,1.629,14
2026-06-14T13:04:32.868000+00:00,11307,1287,7.049,0.526,87
2026-06-14T13:04:32.884000+00:00,11307,1287,5.038,0.553,41
2026-06-14T13:04:32.993000+00:00,11307,1287,7.224,0.175,6
2026-06-14T13:04:33.259000+00:00,11307,1287,5.44,0.402,27
2026-06-14T13:04:33.353000+00:00,11307,1287,7.579,0.355,5
2026-06-14T13:04:33.462000+00:00,11307,1287,5.695,0.255,43
2026-06-14T13:04:33.712000+00:00,11307,1287,7.809,0.23,31
2026-06-14T13:04:33.759000+00:00,11307,1287,7.927,0.118,23
2026-06-14T13:04:33.868000+00:00,11307,1287,8.076,0.149,11
2026-06-14T13:04:34.181000+00:00,11307,1287,6.308,0.613,10
2026-06-14T13:04:34.275000+00:00,11307,1287,8.493,0.417,77
2026-06-14T13:04:34.462000+00:00,11307,1287,6.619,0.311,55
2026-06-14T13:04:34.853000+00:00,11307,1287,7.057,0.438,87
2026-06-14T13:04:34.962000+00:00,11307,1287,9.157,0.664,18
2026-06-14T13:04:35.056000+00:00,11307,1287,7.253,0.196,6
2026-06-14T13:04:35.462000+00:00,11307,1287,7.658,0.405,5
2026-06-14T13:04:35.557000+00:00,11307,1287,7.824,0.166,31
2026-06-14T13:04:35.759000+00:00,11307,1287,8.037,0.213,23
2026-06-14T13:04:35.994000+00:00,11307,1287,8.173,0.136,11
2026-06-14T13:04:36.353000+00:00,11307,1287,8.576,0.403,77
2026-06-14T13:04:36.572000+00:00,11307,1287,10.727,1.57,14
2026-06-14T13:04:36.962000+00:00,11307,1287,1.233,1.233,44
2026-06-14T13:04:37.165000+00:00,11307,1287,9.317,0.741,18
2026-06-14T13:04:37.665000+00:00,11307,1287,2.019,0.786,12
2026-06-14T13:04:38.180000+00:00,11307,1287,2.539,0.52,1
2026-06-14T13:04:38.761000+00:00,11307,1287,10.901,1.584,14
2026-06-14T13:04:38.918000+00:00,11307,1287,3.273,0.734,3
2026-06-14T13:04:39.284000+00:00,11307,1287,3.625,0.352,81
2026-06-14T13:04:40.011000+00:00,11307,1287,4.369,0.744,16
2026-06-14T13:04:40.574000+00:00,11307,1287,4.938,0.569,30
2026-06-14T13:04:41.214000+00:00,11307,1287,5.565,0.627,41
2026-06-14T13:04:41.355000+00:00,11307,1287,5.709,0.144,27
2026-06-14T13:04:41.933000+00:00,11307,1287,1.256,1.256,44
2026-06-14T13:04:41.980000+00:00,11307,1287,6.308,0.599,43
2026-06-14T13:04:42.339000+00:00,11307,1287,6.704,0.396,10
2026-06-14T13:04:42.808000+00:00,11307,1287,2.171,0.915,12
2026-06-14T13:04:42.855000+00:00,11307,1287,7.203,0.499,55
2026-06-14T13:04:43.355000+00:00,11307,1287,7.682,0.479,87
2026-06-14T13:04:43.355000+00:00,11307,1287,2.709,0.538,1
2026-06-14T13:04:43.527000+00:00,11307,1287,7.879,0.197,6
2026-06-14T13:04:43.886000+00:00,11307,1287,8.209,0.33,31
2026-06-14T13:04:43.964000+00:00,11307,1287,8.269,0.06,5
2026-06-14T13:04:44.089000+00:00,11307,1287,3.446,0.737,3
2026-06-14T13:04:44.371000+00:00,11307,1287,8.733,0.464,23
2026-06-14T13:04:44.589000+00:00,11307,1287,8.927,0.194,11
2026-06-14T13:04:44.652000+00:00,11307,1287,3.911,0.465,81
2026-06-14T13:04:45.089000+00:00,11307,1287,1.224,1.224,44
2026-06-14T13:04:45.199000+00:00,11307,1287,4.521,0.61,16
2026-06-14T13:04:45.261000+00:00,11307,1287,9.569,0.642,77
2026-06-14T13:04:45.714000+00:00,11307,1287,10.08,0.511,18
2026-06-14T13:04:45.996000+00:00,11307,1287,5.305,0.784,30
2026-06-14T13:04:46.089000+00:00,11307,1287,2.161,0.937,12
2026-06-14T13:04:46.464000+00:00,11307,1287,2.651,0.49,1
2026-06-14T13:04:46.574000+00:00,11307,1287,5.893,0.588,41
2026-06-14T13:04:46.871000+00:00,11307,1287,6.227,0.334,27
2026-06-14T13:04:47.152000+00:00,11307,1287,11.463,1.383,14
2026-06-14T13:04:47.356000+00:00,11307,1287,3.481,0.83,3
2026-06-14T13:04:47.480000+00:00,11307,1287,6.843,0.616,43
2026-06-14T13:04:47.902000+00:00,11307,1287,7.148,0.305,10
2026-06-14T13:04:47.949000+00:00,11307,1287,3.953,0.472,81
2026-06-14T13:04:48.340000+00:00,11307,1287,7.617,0.469,55
2026-06-14T13:04:48.511000+00:00,11307,1287,1.209,1.209,44
2026-06-14T13:04:48.574000+00:00,11307,1287,4.662,0.709,16
2026-06-14T13:04:48.855000+00:00,11307,1287,8.151,0.534,87
2026-06-14T13:04:48.964000+00:00,11307,1287,8.208,0.057,6
2026-06-14T13:04:49.199000+00:00,11307,1287,5.365,0.703,30
2026-06-14T13:04:49.340000+00:00,11307,1287,8.609,0.401,31
2026-06-14T13:04:49.355000+00:00,11307,1287,2.104,0.895,12
2026-06-14T13:04:49.371000+00:00,11307,1287,8.669,,5
2026-06-14T13:04:49.808000+00:00,11307,1287,9.157,0.488,23
2026-06-14T13:04:49.856000+00:00,11307,1287,5.988,0.623,41
2026-06-14T13:04:49.964000+00:00,11307,1287,2.732,0.628,1
2026-06-14T13:04:50.058000+00:00,11307,1287,9.365,0.208,11
2026-06-14T13:04:50.183000+00:00,11307,1287,6.314,0.326,27
2026-06-14T13:04:50.621000+00:00,11307,1287,1.178,1.178,44
2026-06-14T13:04:50.683000+00:00,11307,1287,10.01,0.645,77
2026-06-14T13:04:50.777000+00:00,11307,1287,3.53,0.798,3
2026-06-14T13:04:50.777000+00:00,11307,1287,6.922,0.608,43
2026-06-14T13:04:51.261000+00:00,11307,1287,4.051,0.521,81
2026-06-14T13:04:51.355000+00:00,11307,1287,7.414,0.492,10
2026-06-14T13:04:51.371000+00:00,11307,1287,10.595,0.585,18
2026-06-14T13:04:51.543000+00:00,11307,1287,2.108,0.93,12
2026-06-14T13:04:51.574000+00:00,11307,1287,7.732,0.318,55
2026-06-14T13:04:51.996000+00:00,11307,1287,4.767,0.716,16
2026-06-14T13:04:52.230000+00:00,11307,1287,2.778,0.67,1
2026-06-14T13:04:52.230000+00:00,11307,1287,8.389,0.657,6
2026-06-14T13:04:52.464000+00:00,11307,1287,8.615,0.226,87
2026-06-14T13:04:52.511000+00:00,11307,1287,11.787,1.192,14
2026-06-14T13:04:52.621000+00:00,11307,1287,0.0,0.0,63
2026-06-14T13:04:52.746000+00:00,11307,1287,5.491,0.724,30
2026-06-14T13:04:52.746000+00:00,11307,1287,8.868,0.253,31
2026-06-14T13:04:52.949000+00:00,11307,1287,9.106,0.238,5
2026-06-14T13:04:52.949000+00:00,11307,1287,3.522,0.744,3
