date,session_key,driver_number,position,meeting_key
2026-09-04T14:00:36.205000+00:00,11355,10,8,1293
2026-09-04T14:00:36.205000+00:00,11355,11,9,1293
2026-09-04T14:00:36.205000+00:00,11355,12,10,1293
2026-09-04T14:00:36.205000+00:00,11355,14,11,1293
2026-09-04T14:00:36.205000+00:00,11355,16,12,1293
2026-09-04T14:00:36.205000+00:00,11355,18,13,1293
2026-09-04T14:00:36.205000+00:00,11355,22,14,1293
2026-09-04T14:00:36.205000+00:00,11355,23,15,1293
2026-09-04T14:00:36.205000+00:00,11355,27,16,1293
2026-09-04T14:00:36.205000+00:00,11355,30,17,1293
2026-09-04T14:00:36.205000+00:00,11355,41,18,1293
2026-09-04T14:00:36.205000+00:00,11355,44,19,1293
2026-09-04T14:00:36.205000+00:00,11355,55,20,1293
2026-09-04T14:00:36.205000+00:00,11355,63,21,1293
2026-09-04T14:00:36.205000+00:00,11355,77,5,1293
2026-09-04T14:00:44.326000+00:00,11355,1,7,1293
2026-09-04T14:00:44.326000+00:00,11355,3,8,1293
2026-09-04T14:00:44.326000+00:00,11355,10,9,1293
2026-09-04T14:00:44.326000+00:00,11355,11,10,1293
2026-09-04T14:00:44.326000+00:00,11355,12,11,1293
2026-09-04T14:00:44.326000+00:00,11355,14,12,1293
2026-09-04T14:00:44.326000+00:00,11355,16,13,1293
2026-09-04T14:00:44.326000+00:00,11355,18,14,1293
2026-09-04T14:00:44.326000+00:00,11355,22,6,1293
2026-09-04T14:00:47.912000+00:00,11355,1,8,1293
2026-09-04T14:00:47.912000+00:00,11355,3,9,1293
2026-09-04T14:00:47.912000+00:00,11355,10,10,1293
2026-09-04T14:00:47.912000+00:00,11355,11,11,1293
2026-09-04T14:00:47.912000+00:00,11355,12,12,1293
2026-09-04T14:00:47.912000+00:00,11355,14,13,1293
2026-09-04T14:00:47.912000+00:00,11355,16,14,1293
2026-09-04T14:00:47.912000+00:00,11355,18,7,1293
2026-09-04T14:00:51.738000+00:00,11355,1,9,1293
2026-09-04T14:00:51.738000+00:00,11355,3,10,1293
2026-09-04T14:00:51.738000+00:00,11355,10,11,1293
2026-09-04T14:00:51.738000+00:00,11355,11,12,1293
2026-09-04T14:00:51.738000+00:00,11355,12,13,1293
2026-09-04T14:00:51.738000+00:00,11355,14,14,1293
2026-09-04T14:00:51.738000+00:00,11355,16,15,1293
2026-09-04T14:00:51.738000+00:00,11355,23,16,1293
2026-09-04T14:00:51.738000+00:00,11355,27,17,1293
2026-09-04T14:00:51.738000+00:00,11355,30,18,1293
2026-09-04T14:00:51.738000+00:00,11355,41,19,1293
2026-09-04T14:00:51.738000+00:00,11355,44,20,1293
2026-09-04T14:00:51.738000+00:00,11355,55,8,1293
2026-09-04T14:00:58.082000+00:00,11355,1,10,1293
2026-09-04T14:00:58.082000+00:00,11355,3,11,1293
2026-09-04T14:00:58.082000+00:00,11355,10,12,1293
2026-09-04T14:00:58.082000+00:00,11355,11,13,1293
2026-09-04T14:00:58.082000+00:00,11355,12,14,1293
2026-09-04T14:00:58.082000+00:00,11355,14,15,1293
2026-09-04T14:00:58.082000+00:00,11355,16,16,1293
2026-09-04T14:00:58.082000+00:00,11355,23,17,1293
2026-09-04T14:00:58.082000+00:00,11355,27,18,1293
2026-09-04T14:00:58.082000+00:00,11355,30,9,1293
2026-09-04T14:01:03.285000+00:00,11355,1,11,1293
2026-09-04T14:01:03.285000+00:00,11355,3,10,1293
2026-09-04T14:01:23.819000+00:00,11355,1,12,1293
2026-09-04T14:01:23.819000+00:00,11355,10,13,1293
2026-09-04T14:01:23.819000+00:00,11355,11,14,1293
2026-09-04T14:01:23.819000+00:00,11355,12,15,1293
2026-09-04T14:01:23.819000+00:00,11355,14,16,1293
2026-09-04T14:01:23.819000+00:00,11355,16,17,1293
2026-09-04T14:01:23.819000+00:00,11355,23,18,1293
2026-09-04T14:01:23.819000+00:00,11355,27,19,1293
2026-09-04T14:01:23.819000+00:00,11355,41,20,1293
2026-09-04T14:01:23.819000+00:00,11355,44,21,1293
2026-09-04T14:01:23.819000+00:00,11355,63,22,1293
2026-09-04T14:01:23.819000+00:00,11355,81,11,1293
2026-09-04T14:01:26.162000+00:00,11355,1,13,1293
2026-09-04T14:01:26.162000+00:00,11355,10,14,1293
2026-09-04T14:01:26.162000+00:00,11355,11,15,1293
2026-09-04T14:01:26.162000+00:00,11355,12,12,1293
2026-09-04T14:01:33.727000+00:00,11355,10,15,1293
2026-09-04T14:01:33.727000+00:00,11355,11,16,1293
2026-09-04T14:01:33.727000+00:00,11355,14,17,1293
2026-09-04T14:01:33.727000+00:00,11355,16,18,1293
2026-09-04T14:01:33.727000+00:00,11355,23,19,1293
2026-09-04T14:01:33.727000+00:00,11355,27,14,1293
2026-09-04T14:01:35.680000+00:00,11355,10,16,1293
2026-09-04T14:01:35.680000+00:00,11355,11,17,1293
2026-09-04T14:01:35.680000+00:00,11355,14,18,1293
2026-09-04T14:01:35.680000+00:00,11355,16,15,1293
2026-09-04T14:01:39.008000+00:00,11355,10,17,1293
2026-09-04T14:01:39.008000+00:00,11355,11,18,1293
2026-09-04T14:01:39.008000+00:00,11355,14,19,1293
2026-09-04T14:01:39.008000+00:00,11355,23,20,1293
2026-09-04T14:01:39.008000+00:00,11355,41,21,1293
2026-09-04T14:01:39.008000+00:00,11355,44,16,1293
2026-09-04T14:01:52.276000+00:00,11355,10,18,1293
2026-09-04T14:01:52.276000+00:00,11355,11,19,1293
2026-09-04T14:01:52.276000+00:00,11355,14,20,1293
2026-09-04T14:01:52.276000+00:00,11355,23,21,1293
2026-09-04T14:01:52.276000+00:00,11355,41,17,1293
2026-09-04T14:02:01.426000+00:00,11355,10,19,1293
2026-09-04T14:02:01.426000+00:00,11355,11,20,1293
2026-09-04T14:02:01.426000+00:00,11355,14,21,1293
