date,session_key,driver_number,meeting_key,position
2026-09-25T12:29:24.518000+00:00,11373,10,1295,10
2026-09-25T12:29:24.518000+00:00,11373,81,1295,12
2026-09-25T12:29:24.518000+00:00,11373,1,1295,11
2026-09-25T12:29:24.518000+00:00,11373,6,1295,7
2026-09-25T12:29:24.518000+00:00,11373,43,1295,14
2026-09-25T12:29:24.518000+00:00,11373,87,1295,15
2026-09-25T12:29:24.518000+00:00,11373,31,1295,13
2026-09-25T12:29:24.518000+00:00,11373,30,1295,5
2026-09-25T12:29:29.797000+00:00,11373,63,1295,7
2026-09-25T12:29:29.797000+00:00,11373,6,1295,2
2026-09-25T12:29:29.797000+00:00,11373,55,1295,4
2026-09-25T12:29:29.797000+00:00,11373,23,1295,3
2026-09-25T12:29:29.797000+00:00,11373,30,1295,6
2026-09-25T12:29:29.797000+00:00,11373,41,1295,5
2026-09-25T12:29:31.805000+00:00,11373,63,1295,8
2026-09-25T12:29:31.805000+00:00,11373,44,1295,9
2026-09-25T12:29:31.805000+00:00,11373,16,1295,10
2026-09-25T12:29:31.805000+00:00,11373,10,1295,11
2026-09-25T12:29:31.805000+00:00,11373,81,1295,13
2026-09-25T12:29:31.805000+00:00,11373,1,1295,12
2026-09-25T12:29:31.805000+00:00,11373,43,1295,15
2026-09-25T12:29:31.805000+00:00,11373,87,1295,5
2026-09-25T12:29:31.805000+00:00,11373,31,1295,14
2026-09-25T12:29:31.805000+00:00,11373,30,1295,7
2026-09-25T12:29:31.805000+00:00,11373,41,1295,6
2026-09-25T12:29:34.713000+00:00,11373,63,1295,9
2026-09-25T12:29:34.713000+00:00,11373,44,1295,10
2026-09-25T12:29:34.713000+00:00,11373,16,1295,11
2026-09-25T12:29:34.713000+00:00,11373,10,1295,12
2026-09-25T12:29:34.713000+00:00,11373,81,1295,14
2026-09-25T12:29:34.713000+00:00,11373,1,1295,13
2026-09-25T12:29:34.713000+00:00,11373,55,1295,5
2026-09-25T12:29:34.713000+00:00,11373,87,1295,6
2026-09-25T12:29:34.713000+00:00,11373,31,1295,4
2026-09-25T12:29:34.713000+00:00,11373,30,1295,8
2026-09-25T12:29:34.713000+00:00,11373,41,1295,7
2026-09-25T12:29:42.265000+00:00,11373,63,1295,10
2026-09-25T12:29:42.265000+00:00,11373,44,1295,11
2026-09-25T12:29:42.265000+00:00,11373,16,1295,12
2026-09-25T12:29:42.265000+00:00,11373,10,1295,13
2026-09-25T12:29:42.265000+00:00,11373,1,1295,3
2026-09-25T12:29:42.265000+00:00,11373,55,1295,6
2026-09-25T12:29:42.265000+00:00,11373,87,1295,7
2026-09-25T12:29:42.265000+00:00,11373,31,1295,5
2026-09-25T12:29:42.265000+00:00,11373,23,1295,4
2026-09-25T12:29:42.265000+00:00,11373,30,1295,9
2026-09-25T12:29:42.265000+00:00,11373,41,1295,8
2026-09-25T12:29:49.051000+00:00,11373,63,1295,11
2026-09-25T12:29:49.051000+00:00,11373,44,1295,12
2026-09-25T12:29:49.051000+00:00,11373,16,1295,13
2026-09-25T12:29:49.051000+00:00,11373,10,1295,14
2026-09-25T12:29:49.051000+00:00,11373,81,1295,4
2026-09-25T12:29:49.051000+00:00,11373,55,1295,7
2026-09-25T12:29:49.051000+00:00,11373,87,1295,8
2026-09-25T12:29:49.051000+00:00,11373,31,1295,6
2026-09-25T12:29:49.051000+00:00,11373,23,1295,5
2026-09-25T12:29:49.051000+00:00,11373,30,1295,10
2026-09-25T12:29:49.051000+00:00,11373,41,1295,9
2026-09-25T12:29:56.441000+00:00,11373,63,1295,12
2026-09-25T12:29:56.441000+00:00,11373,44,1295,3
2026-09-25T12:29:56.441000+00:00,11373,81,1295,5
2026-09-25T12:29:56.441000+00:00,11373,1,1295,4
2026-09-25T12:29:56.441000+00:00,11373,55,1295,8
2026-09-25T12:29:56.441000+00:00,11373,87,1295,9
2026-09-25T12:29:56.441000+00:00,11373,31,1295,7
2026-09-25T12:29:56.441000+00:00,11373,23,1295,6
2026-09-25T12:29:56.441000+00:00,11373,30,1295,11
2026-09-25T12:29:56.441000+00:00,11373,41,1295,10
2026-09-25T12:29:58.042000+00:00,11373,63,1295,13
2026-09-25T12:29:58.042000+00:00,11373,16,1295,4
2026-09-25T12:29:58.042000+00:00,11373,81,1295,6
2026-09-25T12:29:58.042000+00:00,11373,1,1295,5
2026-09-25T12:29:58.042000+00:00,11373,55,1295,9
2026-09-25T12:29:58.042000+00:00,11373,87,1295,10
2026-09-25T12:29:58.042000+00:00,11373,31,1295,8
2026-09-25T12:29:58.042000+00:00,11373,23,1295,7
2026-09-25T12:29:58.042000+00:00,11373,30,1295,12
2026-09-25T12:29:58.042000+00:00,11373,41,1295,11
2026-09-25T12:30:36.277000+00:00,11373,3,1295,2
2026-09-25T12:30:36.277000+00:00,11373,63,1295,1
2026-09-25T12:30:36.277000+00:00,11373,44,1295,4
2026-09-25T12:30:36.277000+00:00,11373,16,1295,5
2026-09-25T12:30:36.277000+00:00,11373,81,1295,7
2026-09-25T12:30:36.277000+00:00,11373,1,1295,6
2026-09-25T12:30:36.277000+00:00,11373,6,1295,3
2026-09-25T12:30:36.277000+00:00,11373,55,1295,10
2026-09-25T12:30:36.277000+00:00,11373,87,1295,11
2026-09-25T12:30:36.277000+00:00,11373,31,1295,9
2026-09-25T12:30:36.277000+00:00,11373,23,1295,8
2026-09-25T12:30:36.277000+00:00,11373,30,1295,13
2026-09-25T12:30:36.277000+00:00,11373,41,1295,12
2026-09-25T12:31:05.016000+00:00,11373,3,1295,3
2026-09-25T12:31:05.016000+00:00,11373,63,1295,2
2026-09-25T12:31:05.016000+00:00,11373,44,1295,5
2026-09-25T12:31:05.016000+00:00,11373,16,1295,6
2026-09-25T12:31:05.016000+00:00,11373,81,1295,8
2026-09-25T12:31:05.016000+00:00,11373,1,1295,7
2026-09-25T12:31:05.016000+00:00,11373,6,1295,4
2026-09-25T12:31:05.016000+00:00,11373,55,1295,1
2026-09-25T12:31:05.016000+00:00,11373,31,1295,10
2026-09-25T12:31:05.016000+00:00,11373,23,1295,9
2026-09-25T12:31:14.406000+00:00,11373,3,1295,4
2026-09-25T12:31:14.406000+00:00,11373,63,1295,3
2026-09-25T12:31:14.406000+00:00,11373,44,1295,6
2026-09-25T12:31:14.406000+00:00,11373,16,1295,7
2026-09-25T12:31:14.406000+00:00,11373,81,1295,9
2026-09-25T12:31:14.406000+00:00,11373,1,1295,8
2026-09-25T12:31:14.406000+00:00,11373,6,1295,5
2026-09-25T12:31:14.406000+00:00,11373,55,1295,2
2026-09-25T12:31:14.406000+00:00,11373,23,1295,1
2026-09-25T12:31:19.991000+00:00,11373,3,1295,1
2026-09-25T12:31:19.991000+00:00,11373,63,1295,4
2026-09-25T12:31:19.991000+00:00,11373,55,1295,3
2026-09-25T12:31:19.991000+00:00,11373,23,1295,2
2026-09-25T12:31:28.142000+00:00,11373,63,1295,5
2026-09-25T12:31:28.142000+00:00,11373,44,1295,7
2026-09-25T12:31:28.142000+00:00,11373,16,1295,8
2026-09-25T12:31:28.142000+00:00,11373,81,1295,10
2026-09-25T12:31:28.142000+00:00,11373,1,1295,9
2026-09-25T12:31:28.142000+00:00,11373,6,1295,6
2026-09-25T12:31:28.142000+00:00,11373,87,1295,12
2026-09-25T12:31:28.142000+00:00,11373,31,1295,11
2026-09-25T12:31:28.142000+00:00,11373,30,1295,4
2026-09-25T12:31:28.142000+00:00,11373,41,1295,13
2026-09-25T12:31:38.758000+00:00,11373,63,1295,6
2026-09-25T12:31:38.758000+00:00,11373,6,1295,2
2026-09-25T12:31:38.758000+00:00,11373,55,1295,4
2026-09-25T12:31:38.758000+00:00,11373,23,1295,3
2026-09-25T12:31:38.758000+00:00,11373,30,1295,5
2026-09-25T12:31:41.222000+00:00,11373,63,1295,7
2026-09-25T12:31:41.222000+00:00,11373,44,1295,8
2026-09-25T12:31:41.222000+00:00,11373,16,1295,9
2026-09-25T12:31:41.222000+00:00,11373,81,1295,11
2026-09-25T12:31:41.222000+00:00,11373,1,1295,10
2026-09-25T12:31:41.222000+00:00,11373,87,1295,5
2026-09-25T12:31:41.222000+00:00,11373,31,1295,12
2026-09-25T12:31:41.222000+00:00,11373,30,1295,6
2026-09-25T12:31:44.316000+00:00,11373,63,1295,8
2026-09-25T12:31:44.316000+00:00,11373,44,1295,9
2026-09-25T12:31:44.316000+00:00,11373,16,1295,10
2026-09-25T12:31:44.316000+00:00,11373,81,1295,12
2026-09-25T12:31:44.316000+00:00,11373,1,1295,11
2026-09-25T12:31:44.316000+00:00,11373,55,1295,5
2026-09-25T12:31:44.316000+00:00,11373,87,1295,6
2026-09-25T12:31:44.316000+00:00,11373,31,1295,4
2026-09-25T12:31:44.316000+00:00,11373,30,1295,7
2026-09-25T12:31:51.239000+00:00,11373,63,1295,9
2026-09-25T12:31:51.239000+00:00,11373,44,1295,10
2026-09-25T12:31:51.239000+00:00,11373,16,1295,11
2026-09-25T12:31:51.239000+00:00,11373,1,1295,3
2026-09-25T12:31:51.239000+00:00,11373,55,1295,6
2026-09-25T12:31:51.239000+00:00,11373,87,1295,7
2026-09-25T12:31:51.239000+00:00,11373,31,1295,5
2026-09-25T12:31:51.239000+00:00,11373,23,1295,4
2026-09-25T12:31:51.239000+00:00,11373,30,1295,8
2026-09-25T12:31:57.075000+00:00,11373,63,1295,10
2026-09-25T12:31:57.075000+00:00,11373,44,1295,11
2026-09-25T12:31:57.075000+00:00,11373,16,1295,12
2026-09-25T12:31:57.075000+00:00,11373,81,1295,13
2026-09-25T12:31:57.075000+00:00,11373,30,1295,9
2026-09-25T12:31:57.075000+00:00,11373,41,1295,8
2026-09-25T12:31:59.050000+00:00,11373,63,1295,11
2026-09-25T12:31:59.050000+00:00,11373,44,1295,12
2026-09-25T12:31:59.050000+00:00,11373,16,1295,13
2026-09-25T12:31:59.050000+00:00,11373,81,1295,4
2026-09-25T12:31:59.050000+00:00,11373,55,1295,7
2026-09-25T12:31:59.050000+00:00,11373,87,1295,8
2026-09-25T12:31:59.050000+00:00,11373,31,1295,6
2026-09-25T12:31:59.050000+00:00,11373,23,1295,5
2026-09-25T12:31:59.050000+00:00,11373,30,1295,10
2026-09-25T12:31:59.050000+00:00,11373,41,1295,9
2026-09-25T12:32:03.706000+00:00,11373,63,1295,12
2026-09-25T12:32:03.706000+00:00,11373,44,1295,3
2026-09-25T12:32:03.706000+00:00,11373,81,1295,5
2026-09-25T12:32:03.706000+00:00,11373,1,1295,4
2026-09-25T12:32:03.706000+00:00,11373,55,1295,8
2026-09-25T12:32:03.706000+00:00,11373,87,1295,9
2026-09-25T12:32:03.706000+00:00,11373,31,1295,7
2026-09-25T12:32:03.706000+00:00,11373,23,1295,6
2026-09-25T12:32:03.706000+00:00,11373,30,1295,11
