date,session_key,meeting_key,interval,driver_number,gap_to_leader
2026-06-14T13:04:25.368000+00:00,11307,1287,0.337,87,6.223
2026-06-14T13:04:25.462000+00:00,11307,1287,0.111,6,6.334
2026-06-14T13:04:25.556000+00:00,11307,1287,0.367,81,3.077
2026-06-14T13:04:25.681000+00:00,11307,1287,0.244,5,6.578
2026-06-14T13:04:25.884000+00:00,11307,1287,0.14,31,6.718
2026-06-14T13:04:26.040000+00:00,11307,1287,0.194,23,6.912
2026-06-14T13:04:26.243000+00:00,11307,1287,0.76,16,3.837
2026-06-14T13:04:26.415000+00:00,11307,1287,0.371,11,7.283
2026-06-14T13:04:26.728000+00:00,11307,1287,0.483,30,4.32
2026-06-14T13:04:26.806000+00:00,11307,1287,0.376,77,7.659
2026-06-14T13:04:26.962000+00:00,11307,1287,1.206,44,1.206
2026-06-14T13:04:27.212000+00:00,11307,1287,0.469,41,4.789
2026-06-14T13:04:27.384000+00:00,11307,1287,0.606,18,8.265
2026-06-14T13:04:27.558000+00:00,11307,1287,0.327,27,5.116
2026-06-14T13:04:27.650000+00:00,11307,1287,0.622,12,1.828
2026-06-14T13:04:27.962000+00:00,11307,1287,0.358,43,5.474
2026-06-14T13:04:28.087000+00:00,11307,1287,0.488,1,2.316
2026-06-14T13:04:28.431000+00:00,11307,1287,0.529,10,6.003
2026-06-14T13:04:28.587000+00:00,11307,1287,0.534,3,2.85
2026-06-14T13:04:28.728000+00:00,11307,1287,0.305,55,6.308
2026-06-14T13:04:29.056000+00:00,11307,1287,1.203,44,1.203
2026-06-14T13:04:29.056000+00:00,11307,1287,0.376,81,3.226
2026-06-14T13:04:29.165000+00:00,11307,1287,0.398,87,6.706
2026-06-14T13:04:29.259000+00:00,11307,1287,1.793,14,10.058
2026-06-14T13:04:29.353000+00:00,11307,1287,0.214,6,6.92
2026-06-14T13:04:29.558000+00:00,11307,1287,0.603,12,1.806
2026-06-14T13:04:29.665000+00:00,11307,1287,0.233,5,7.153
2026-06-14T13:04:29.775000+00:00,11307,1287,0.781,16,4.007
2026-06-14T13:04:29.868000+00:00,11307,1287,0.222,31,7.375
2026-06-14T13:04:30.056000+00:00,11307,1287,0.164,23,7.539
2026-06-14T13:04:30.165000+00:00,11307,1287,0.538,1,2.344
2026-06-14T13:04:30.259000+00:00,11307,1287,0.423,30,4.43
2026-06-14T13:04:30.353000+00:00,11307,1287,0.302,11,7.841
2026-06-14T13:04:30.650000+00:00,11307,1287,0.305,77,8.146
2026-06-14T13:04:30.775000+00:00,11307,1287,0.572,41,5.002
2026-06-14T13:04:30.978000+00:00,11307,1287,0.558,3,2.902
2026-06-14T13:04:31.071000+00:00,11307,1287,0.367,81,3.269
2026-06-14T13:04:31.228000+00:00,11307,1287,0.601,18,8.747
2026-06-14T13:04:31.275000+00:00,11307,1287,0.403,27,5.405
2026-06-14T13:04:31.415000+00:00,11307,1287,0.207,43,5.612
2026-06-14T13:04:31.868000+00:00,11307,1287,0.757,16,4.026
2026-06-14T13:04:31.993000+00:00,11307,1287,0.621,10,6.233
2026-06-14T13:04:32.259000+00:00,11307,1287,0.459,30,4.485
2026-06-14T13:04:32.353000+00:00,11307,1287,0.29,55,6.523
2026-06-14T13:04:32.853000+00:00,11307,1287,1.629,14,10.376
2026-06-14T13:04:32.868000+00:00,11307,1287,0.526,87,7.049
2026-06-14T13:04:32.884000+00:00,11307,1287,0.553,41,5.038
2026-06-14T13:04:32.993000+00:00,11307,1287,0.175,6,7.224
2026-06-14T13:04:33.259000+00:00,11307,1287,0.402,27,5.44
2026-06-14T13:04:33.353000+00:00,11307,1287,0.355,5,7.579
2026-06-14T13:04:33.462000+00:00,11307,1287,0.255,43,5.695
2026-06-14T13:04:33.712000+00:00,11307,1287,0.23,31,7.809
2026-06-14T13:04:33.759000+00:00,11307,1287,0.118,23,7.927
2026-06-14T13:04:33.868000+00:00,11307,1287,0.149,11,8.076
2026-06-14T13:04:34.181000+00:00,11307,1287,0.613,10,6.308
2026-06-14T13:04:34.275000+00:00,11307,1287,0.417,77,8.493
2026-06-14T13:04:34.462000+00:00,11307,1287,0.311,55,6.619
2026-06-14T13:04:34.853000+00:00,11307,1287,0.438,87,7.057
2026-06-14T13:04:34.962000+00:00,11307,1287,0.664,18,9.157
2026-06-14T13:04:35.056000+00:00,11307,1287,0.196,6,7.253
2026-06-14T13:04:35.462000+00:00,11307,1287,0.405,5,7.658
2026-06-14T13:04:35.557000+00:00,11307,1287,0.166,31,7.824
2026-06-14T13:04:35.759000+00:00,11307,1287,0.213,23,8.037
2026-06-14T13:04:35.994000+00:00,11307,1287,0.136,11,8.173
2026-06-14T13:04:36.353000+00:00,11307,1287,0.403,77,8.576
2026-06-14T13:04:36.572000+00:00,11307,1287,1.57,14,10.727
2026-06-14T13:04:36.962000+00:00,11307,1287,1.233,44,1.233
2026-06-14T13:04:37.165000+00:00,11307,1287,0.741,18,9.317
2026-06-14T13:04:37.665000+00:00,11307,1287,0.786,12,2.019
2026-06-14T13:04:38.180000+00:00,11307,1287,0.52,1,2.539
2026-06-14T13:04:38.761000+00:00,11307,1287,1.584,14,10.901
2026-06-14T13:04:38.918000+00:00,11307,1287,0.734,3,3.273
2026-06-14T13:04:39.284000+00:00,11307,1287,0.352,81,3.625
2026-06-14T13:04:40.011000+00:00,11307,1287,0.744,16,4.369
2026-06-14T13:04:40.574000+00:00,11307,1287,0.569,30,4.938
2026-06-14T13:04:41.214000+00:00,11307,1287,0.627,41,5.565
2026-06-14T13:04:41.355000+00:00,11307,1287,0.144,27,5.709
2026-06-14T13:04:41.933000+00:00,11307,1287,1.256,44,1.256
2026-06-14T13:04:41.980000+00:00,11307,1287,0.599,43,6.308
2026-06-14T13:04:42.339000+00:00,11307,1287,0.396,10,6.704
2026-06-14T13:04:42.808000+00:00,11307,1287,0.915,12,2.171
2026-06-14T13:04:42.855000+00:00,11307,1287,0.499,55,7.203
2026-06-14T13:04:43.355000+00:00,11307,1287,0.479,87,7.682
2026-06-14T13:04:43.355000+00:00,11307,1287,0.538,1,2.709
2026-06-14T13:04:43.527000+00:00,11307,1287,0.197,6,7.879
2026-06-14T13:04:43.886000+00:00,11307,1287,0.33,31,8.209
2026-06-14T13:04:43.964000+00:00,11307,1287,0.06,5,8.269
2026-06-14T13:04:44.089000+00:00,11307,1287,0.737,3,3.446
2026-06-14T13:04:44.371000+00:00,11307,1287,0.464,23,8.733
2026-06-14T13:04:44.589000+00:00,11307,1287,0.194,11,8.927
2026-06-14T13:04:44.652000+00:00,11307,1287,0.465,81,3.911
2026-06-14T13:04:45.089000+00:00,11307,1287,1.224,44,1.224
2026-06-14T13:04:45.199000+00:00,11307,1287,0.61,16,4.521
2026-06-14T13:04:45.261000+00:00,11307,1287,0.642,77,9.569
2026-06-14T13:04:45.714000+00:00,11307,1287,0.511,18,10.08
2026-06-14T13:04:45.996000+00:00,11307,1287,0.784,30,5.305
2026-06-14T13:04:46.089000+00:00,11307,1287,0.937,12,2.161
2026-06-14T13:04:46.464000+00:00,11307,1287,0.49,1,2.651
2026-06-14T13:04:46.574000+00:00,11307,1287,0.588,41,5.893
2026-06-14T13:04:46.871000+00:00,11307,1287,0.334,27,6.227
2026-06-14T13:04:47.152000+00:00,11307,1287,1.383,14,11.463
2026-06-14T13:04:47.356000+00:00,11307,1287,0.83,3,3.481
2026-06-14T13:04:47.480000+00:00,11307,1287,0.616,43,6.843
2026-06-14T13:04:47.902000+00:00,11307,1287,0.305,10,7.148
2026-06-14T13:04:47.949000+00:00,11307,1287,0.472,81,3.953
2026-06-14T13:04:48.340000+00:00,11307,1287,0.469,55,7.617
2026-06-14T13:04:48.511000+00:00,11307,1287,1.209,44,1.209
2026-06-14T13:04:48.574000+00:00,11307,1287,0.709,16,4.662
2026-06-14T13:04:48.855000+00:00,11307,1287,0.534,87,8.151
2026-06-14T13:04:48.964000+00:00,11307,1287,0.057,6,8.208
