date,session_key,driver_number,position,meeting_key
2026-06-12T15:27:34.823000+00:00,11301,10,16,1287
2026-06-12T15:27:34.823000+00:00,11301,12,8,1287
2026-06-12T15:27:34.823000+00:00,11301,27,7,1287
2026-06-12T15:27:34.823000+00:00,11301,30,9,1287
2026-06-12T15:27:34.823000+00:00,11301,31,13,1287
2026-06-12T15:27:34.823000+00:00,11301,41,11,1287
2026-06-12T15:27:34.823000+00:00,11301,43,15,1287
2026-06-12T15:27:34.823000+00:00,11301,44,12,1287
2026-06-12T15:27:34.823000+00:00,11301,55,10,1287
2026-06-12T15:27:34.823000+00:00,11301,87,17,1287
2026-06-12T15:29:12.787000+00:00,11301,5,15,1287
2026-06-12T15:29:12.787000+00:00,11301,31,14,1287
2026-06-12T15:29:12.787000+00:00,11301,41,12,1287
2026-06-12T15:29:12.787000+00:00,11301,43,11,1287
2026-06-12T15:29:12.787000+00:00,11301,44,13,1287
2026-06-12T15:30:21.504000+00:00,11301,1,5,1287
2026-06-12T15:30:21.504000+00:00,11301,3,4,1287
2026-06-12T15:30:21.504000+00:00,11301,16,2,1287
2026-06-12T15:30:21.504000+00:00,11301,63,3,1287
2026-06-12T15:30:37.222000+00:00,11301,5,16,1287
2026-06-12T15:30:37.222000+00:00,11301,10,17,1287
2026-06-12T15:30:37.222000+00:00,11301,12,9,1287
2026-06-12T15:30:37.222000+00:00,11301,30,10,1287
2026-06-12T15:30:37.222000+00:00,11301,31,15,1287
2026-06-12T15:30:37.222000+00:00,11301,41,13,1287
2026-06-12T15:30:37.222000+00:00,11301,43,12,1287
2026-06-12T15:30:37.222000+00:00,11301,44,14,1287
2026-06-12T15:30:37.222000+00:00,11301,55,11,1287
2026-06-12T15:30:37.222000+00:00,11301,87,8,1287
2026-06-12T15:30:43.341000+00:00,11301,1,6,1287
2026-06-12T15:30:43.341000+00:00,11301,6,7,1287
2026-06-12T15:30:43.341000+00:00,11301,12,10,1287
2026-06-12T15:30:43.341000+00:00,11301,27,8,1287
2026-06-12T15:30:43.341000+00:00,11301,30,11,1287
2026-06-12T15:30:43.341000+00:00,11301,41,5,1287
2026-06-12T15:30:43.341000+00:00,11301,43,13,1287
2026-06-12T15:30:43.341000+00:00,11301,55,12,1287
2026-06-12T15:30:43.341000+00:00,11301,87,9,1287
2026-06-12T15:31:10.517000+00:00,11301,5,7,1287
