date,session_key,driver_number,meeting_key,position
2026-07-24T15:14:00.629000+00:00,11336,81,1291,8
2026-07-24T15:14:05.097000+00:00,11336,14,1291,16
2026-07-24T15:14:05.097000+00:00,11336,87,1291,15
2026-07-24T15:14:30.707000+00:00,11336,5,1291,11
2026-07-24T15:14:30.707000+00:00,11336,41,1291,10
2026-07-24T15:14:51.229000+00:00,11336,10,1291,13
2026-07-24T15:14:51.229000+00:00,11336,14,1291,15
2026-07-24T15:14:51.229000+00:00,11336,43,1291,16
2026-07-24T15:14:51.229000+00:00,11336,87,1291,14
2026-07-24T15:14:53.632000+00:00,11336,14,1291,14
2026-07-24T15:14:53.632000+00:00,11336,87,1291,15
2026-07-24T15:14:58.105000+00:00,11336,23,1291,20
2026-07-24T15:14:58.105000+00:00,11336,77,1291,19
2026-07-24T15:16:03.502000+00:00,11336,1,1291,6
2026-07-24T15:16:03.502000+00:00,11336,12,1291,7
2026-07-24T15:16:03.502000+00:00,11336,27,1291,8
2026-07-24T15:16:03.502000+00:00,11336,81,1291,5
2026-07-24T15:16:25.399000+00:00,11336,11,1291,18
2026-07-24T15:16:25.399000+00:00,11336,23,1291,17
2026-07-24T15:16:25.399000+00:00,11336,55,1291,19
2026-07-24T15:16:25.399000+00:00,11336,77,1291,20
2026-07-24T15:16:47.807000+00:00,11336,5,1291,12
2026-07-24T15:16:47.807000+00:00,11336,31,1291,11
2026-07-24T15:19:13.360000+00:00,11336,1,1291,7
2026-07-24T15:19:13.360000+00:00,11336,12,1291,5
2026-07-24T15:19:13.360000+00:00,11336,81,1291,6
2026-07-24T15:19:21.853000+00:00,11336,14,1291,15
2026-07-24T15:19:21.853000+00:00,11336,87,1291,14
2026-07-24T15:24:33.032000+00:00,11336,1,1291,1
2026-07-24T15:24:33.032000+00:00,11336,3,1291,4
2026-07-24T15:24:33.032000+00:00,11336,12,1291,6
2026-07-24T15:24:33.032000+00:00,11336,16,1291,3
2026-07-24T15:24:33.032000+00:00,11336,44,1291,2
2026-07-24T15:24:33.032000+00:00,11336,63,1291,5
2026-07-24T15:24:33.032000+00:00,11336,81,1291,7
2026-07-24T15:24:50.767000+00:00,11336,3,1291,5
2026-07-24T15:24:50.767000+00:00,11336,12,1291,7
2026-07-24T15:24:50.767000+00:00,11336,27,1291,4
2026-07-24T15:24:50.767000+00:00,11336,63,1291,6
2026-07-24T15:24:50.767000+00:00,11336,81,1291,8
2026-07-24T15:24:57.442000+00:00,11336,3,1291,2
2026-07-24T15:24:57.442000+00:00,11336,16,1291,4
2026-07-24T15:24:57.442000+00:00,11336,27,1291,5
2026-07-24T15:24:57.442000+00:00,11336,44,1291,3
2026-07-24T15:25:10.901000+00:00,11336,12,1291,8
2026-07-24T15:25:10.901000+00:00,11336,30,1291,6
2026-07-24T15:25:10.901000+00:00,11336,63,1291,7
2026-07-24T15:25:10.901000+00:00,11336,81,1291,9
2026-07-24T15:25:18.017000+00:00,11336,5,1291,13
2026-07-24T15:25:18.017000+00:00,11336,6,1291,5
2026-07-24T15:25:18.017000+00:00,11336,10,1291,14
2026-07-24T15:25:18.017000+00:00,11336,11,1291,19
2026-07-24T15:25:18.017000+00:00,11336,12,1291,9
2026-07-24T15:25:18.017000+00:00,11336,14,1291,16
2026-07-24T15:25:18.017000+00:00,11336,23,1291,18
2026-07-24T15:25:18.017000+00:00,11336,27,1291,6
2026-07-24T15:25:18.017000+00:00,11336,30,1291,7
2026-07-24T15:25:18.017000+00:00,11336,31,1291,12
2026-07-24T15:25:18.017000+00:00,11336,41,1291,11
2026-07-24T15:25:18.017000+00:00,11336,43,1291,17
2026-07-24T15:25:18.017000+00:00,11336,55,1291,20
2026-07-24T15:25:18.017000+00:00,11336,63,1291,8
2026-07-24T15:25:18.017000+00:00,11336,77,1291,21
2026-07-24T15:25:18.017000+00:00,11336,81,1291,10
2026-07-24T15:25:18.017000+00:00,11336,87,1291,15
2026-07-24T15:25:30.225000+00:00,11336,12,1291,10
2026-07-24T15:25:30.225000+00:00,11336,30,1291,8
2026-07-24T15:25:30.225000+00:00,11336,41,1291,7
2026-07-24T15:25:30.225000+00:00,11336,63,1291,9
2026-07-24T15:25:30.225000+00:00,11336,81,1291,11
2026-07-24T15:25:36.416000+00:00,11336,10,1291,15
2026-07-24T15:25:36.416000+00:00,11336,11,1291,14
2026-07-24T15:25:36.416000+00:00,11336,14,1291,17
2026-07-24T15:25:36.416000+00:00,11336,23,1291,19
2026-07-24T15:25:36.416000+00:00,11336,43,1291,18
2026-07-24T15:25:36.416000+00:00,11336,87,1291,16
2026-07-24T15:25:45.729000+00:00,11336,5,1291,14
2026-07-24T15:25:45.729000+00:00,11336,10,1291,16
2026-07-24T15:25:45.729000+00:00,11336,11,1291,15
2026-07-24T15:25:45.729000+00:00,11336,14,1291,18
2026-07-24T15:25:45.729000+00:00,11336,23,1291,20
2026-07-24T15:25:45.729000+00:00,11336,31,1291,13
2026-07-24T15:25:45.729000+00:00,11336,43,1291,19
2026-07-24T15:25:45.729000+00:00,11336,55,1291,12
2026-07-24T15:25:45.729000+00:00,11336,87,1291,17
2026-07-24T15:26:00.116000+00:00,11336,5,1291,15
2026-07-24T15:26:00.116000+00:00,11336,10,1291,17
2026-07-24T15:26:00.116000+00:00,11336,11,1291,16
2026-07-24T15:26:00.116000+00:00,11336,14,1291,19
2026-07-24T15:26:00.116000+00:00,11336,23,1291,12
2026-07-24T15:26:00.116000+00:00,11336,31,1291,14
2026-07-24T15:26:00.116000+00:00,11336,43,1291,20
2026-07-24T15:26:00.116000+00:00,11336,55,1291,13
2026-07-24T15:26:00.116000+00:00,11336,87,1291,18
2026-07-24T15:26:06.995000+00:00,11336,12,1291,9
2026-07-24T15:26:06.995000+00:00,11336,23,1291,11
2026-07-24T15:26:06.995000+00:00,11336,30,1291,7
2026-07-24T15:26:06.995000+00:00,11336,41,1291,12
2026-07-24T15:26:06.995000+00:00,11336,63,1291,8
2026-07-24T15:26:06.995000+00:00,11336,81,1291,10
2026-07-24T15:26:21.788000+00:00,11336,6,1291,6
2026-07-24T15:26:21.788000+00:00,11336,16,1291,5
2026-07-24T15:26:21.788000+00:00,11336,27,1291,7
2026-07-24T15:26:21.788000+00:00,11336,30,1291,8
2026-07-24T15:26:21.788000+00:00,11336,63,1291,4
2026-07-24T15:37:07.434000+00:00,11336,10,1291,18
2026-07-24T15:37:07.434000+00:00,11336,14,1291,20
2026-07-24T15:37:07.434000+00:00,11336,43,1291,21
2026-07-24T15:37:07.434000+00:00,11336,77,1291,17
2026-07-24T15:37:07.434000+00:00,11336,87,1291,19
2026-07-24T15:37:16.269000+00:00,11336,10,1291,19
2026-07-24T15:37:16.269000+00:00,11336,11,1291,17
2026-07-24T15:37:16.269000+00:00,11336,14,1291,16
