path,size_bytes,category,recommended_action,reason,path_length
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-session-autorepair-integrated-loop-v1.yml,5921,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,158
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-session-autorepair-integrated-run-now-button-v1.yml,3728,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,168
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-workbook-kpi-refresh-run-now-button.yml,1998,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,156
F1_Peak_Elite_System_Installer_v1/payload/configs/peak_elite/peak_elite_policy_v1.json,1157,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,140
F1_Peak_Elite_System_Installer_v1/payload/docs/F1_PEAK_ELITE_SYSTEM_2026-06-13.md,1996,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,135
F1_Peak_Elite_System_Installer_v1/payload/scripts/ops/f1_peak_elite_cleanup_report_v1.py,4211,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,142
F1_Peak_Elite_System_Installer_v1/payload/scripts/ops/f1_peak_elite_health_v1.py,9263,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,134
F1_Peak_Elite_System_Installer_v1/payload/scripts/ops/f1_peak_elite_orchestrator_v1.py,11781,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,140
F1_Peak_Elite_System_Installer_v1/payload/scripts/ops/f1_workflow_commit_block_repair_v1.py,9211,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,145
F1_Peak_Elite_System_Installer_v1/payload/scripts/ops/f1_workflow_static_validator_v2.py,8019,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,142
FORECAST_BUNDLE_LOCKER_SCHEDULER_GUARD_INSTALL_REPORT_2026-06-11.txt,239,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,122
INSTALL_REPORT_LAST_RUN.txt,2600,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,81
LIVE_SOURCE_FEED_CAPTURE_CONSOLIDATED_INSTALLER_FIX_MANIFEST.csv,895,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,118
LIVE_SOURCE_FEED_CAPTURE_CONSOLIDATED_VALIDATION_PATCH_MANIFEST.csv,650,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,121
