date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-06-07T15:10:29.774000+00:00,11299,67,5,,2029.9,2029.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:12.024000+00:00,11299,68,12,,2154.1,2154.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:15.196000+00:00,11299,68,44,,2156.2,2156.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:17.821000+00:00,11299,68,6,,2156.6,2156.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:20.728000+00:00,11299,68,63,,2158.1,2158.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:23.290000+00:00,11299,68,10,,2151.5,2151.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:26.556000+00:00,11299,68,81,,2151.4,2151.4,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:29.165000+00:00,11299,68,30,,2146.0,2146.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:32.696000+00:00,11299,68,41,,62.5,62.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:34.790000+00:00,11299,68,23,,62.2,62.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:37.618000+00:00,11299,68,55,,61.9,61.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:39.884000+00:00,11299,68,31,,62.6,62.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:42.993000+00:00,11299,68,27,,61.9,61.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:48.759000+00:00,11299,68,43,,64.4,64.4,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:51.994000+00:00,11299,68,14,,64.9,64.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:54.552000+00:00,11299,68,11,,65.8,65.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:12:56.029000+00:00,11299,68,5,,63.9,63.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:19:38.018000+00:00,11299,72,63,,19.7,19.7,1286,2026-09-06T22:35:01.578206Z
2026-07-03T15:30:14.714000+00:00,11317,1,11,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:30:20.299000+00:00,11317,1,77,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:30:43.565000+00:00,11317,1,31,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:30:47.676000+00:00,11317,1,87,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:20.441000+00:00,11317,1,12,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:26.105000+00:00,11317,1,63,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:30.514000+00:00,11317,1,16,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:35.738000+00:00,11317,1,44,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:41.437000+00:00,11317,1,5,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:51.388000+00:00,11317,1,27,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:31:58.181000+00:00,11317,1,30,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:02.555000+00:00,11317,1,55,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:09.313000+00:00,11317,1,23,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:15.533000+00:00,11317,1,41,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:25.695000+00:00,11317,1,3,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:30.481000+00:00,11317,1,6,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:32:47.754000+00:00,11317,1,81,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:33:00.221000+00:00,11317,1,1,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:33:06.606000+00:00,11317,1,10,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:33:14.292000+00:00,11317,1,43,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:35:18.699000+00:00,11317,1,14,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:35:22.626000+00:00,11317,1,18,,,,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:37:18.315000+00:00,11317,4,12,,48.6,48.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:03.502000+00:00,11317,4,63,,76.3,76.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:19.306000+00:00,11317,4,5,,67.3,67.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:28.897000+00:00,11317,4,27,,68.2,68.2,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:34.860000+00:00,11317,4,31,,155.5,155.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:38.322000+00:00,11317,4,87,,151.5,151.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:40.355000+00:00,11317,4,77,,194.4,194.4,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:38:43.485000+00:00,11317,4,11,,208.2,208.2,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:39:01.603000+00:00,11317,4,1,,40.9,40.9,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:06.393000+00:00,11317,7,27,,323.6,323.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:08.539000+00:00,11317,8,55,,260.1,260.1,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:13.725000+00:00,11317,7,3,,338.9,338.9,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:19.467000+00:00,11317,8,23,,262.3,262.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:25.120000+00:00,11317,6,6,,415.0,415.0,1289,2026-09-06T22:37:17.103821Z
