date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-07-19T13:04:53.472000+00:00,11334,3.602,0.508,1290,30
2026-07-19T13:04:53.917000+00:00,11334,4.026,0.424,1290,41
2026-07-19T13:04:54.337000+00:00,11334,4.422,0.396,1290,43
2026-07-19T13:04:54.502000+00:00,11334,4.607,0.185,1290,5
2026-07-19T13:04:54.857000+00:00,11334,4.984,0.377,1290,1
2026-07-19T13:04:54.947000+00:00,11334,0.62,0.62,1290,16
2026-07-19T13:04:55.120000+00:00,11334,5.243,0.259,1290,10
2026-07-19T13:04:55.244000+00:00,11334,5.361,0.118,1290,87
2026-07-19T13:04:55.553000+00:00,11334,1.216,0.596,1290,3
2026-07-19T13:04:55.557000+00:00,11334,5.668,0.307,1290,23
2026-07-19T13:04:55.899000+00:00,11334,6.013,0.345,1290,27
2026-07-19T13:04:55.930000+00:00,11334,6.063,0.05,1290,31
2026-07-19T13:04:56.201000+00:00,11334,6.309,0.246,1290,55
2026-07-19T13:04:56.445000+00:00,11334,6.557,0.248,1290,6
2026-07-19T13:04:56.759000+00:00,11334,2.404,1.188,1290,81
2026-07-19T13:04:56.957000+00:00,11334,7.072,0.515,1290,11
2026-07-19T13:04:57.224000+00:00,11334,7.363,0.291,1290,77
2026-07-19T13:04:57.586000+00:00,11334,3.255,0.851,1290,44
2026-07-19T13:04:57.612000+00:00,11334,7.736,0.373,1290,14
2026-07-19T13:04:58.049000+00:00,11334,8.152,0.416,1290,18
2026-07-19T13:04:58.131000+00:00,11334,3.793,0.538,1290,30
2026-07-19T13:04:58.562000+00:00,11334,4.236,0.443,1290,41
2026-07-19T13:04:58.838000+00:00,11334,0.557,0.557,1290,16
2026-07-19T13:04:58.919000+00:00,11334,4.579,0.343,1290,43
2026-07-19T13:04:59.160000+00:00,11334,4.806,0.227,1290,5
2026-07-19T13:04:59.438000+00:00,11334,1.137,0.58,1290,3
2026-07-19T13:04:59.557000+00:00,11334,5.206,0.4,1290,1
2026-07-19T13:04:59.976000+00:00,11334,5.447,0.241,1290,10
2026-07-19T13:04:59.976000+00:00,11334,5.579,0.132,1290,87
2026-07-19T13:05:00.238000+00:00,11334,5.887,0.308,1290,23
2026-07-19T13:05:00.498000+00:00,11334,6.159,0.272,1290,27
2026-07-19T13:05:00.739000+00:00,11334,2.47,1.333,1290,81
2026-07-19T13:05:00.772000+00:00,11334,6.423,0.264,1290,31
2026-07-19T13:05:00.912000+00:00,11334,6.587,0.164,1290,55
2026-07-19T13:05:01.187000+00:00,11334,6.843,0.256,1290,6
2026-07-19T13:05:01.686000+00:00,11334,7.365,0.522,1290,11
2026-07-19T13:05:01.710000+00:00,11334,3.46,0.99,1290,44
2026-07-19T13:05:02.013000+00:00,11334,7.675,0.31,1290,77
2026-07-19T13:05:02.323000+00:00,11334,4.015,0.555,1290,30
2026-07-19T13:05:02.438000+00:00,11334,8.091,0.416,1290,14
2026-07-19T13:05:02.790000+00:00,11334,8.458,0.367,1290,18
2026-07-19T13:05:02.902000+00:00,11334,4.6,0.585,1290,41
2026-07-19T13:05:02.924000+00:00,11334,0.582,0.582,1290,16
2026-07-19T13:05:03.301000+00:00,11334,4.991,0.391,1290,43
2026-07-19T13:05:03.360000+00:00,11334,1.029,0.447,1290,3
2026-07-19T13:05:03.538000+00:00,11334,5.244,0.253,1290,5
2026-07-19T13:05:03.886000+00:00,11334,5.641,0.397,1290,1
2026-07-19T13:05:04.273000+00:00,11334,5.97,0.329,1290,10
2026-07-19T13:05:04.763000+00:00,11334,6.535,0.565,1290,23
2026-07-19T13:05:04.858000+00:00,11334,2.535,1.506,1290,81
2026-07-19T13:05:04.929000+00:00,11334,6.636,0.101,1290,87
2026-07-19T13:05:05.050000+00:00,11334,6.73,0.094,1290,27
2026-07-19T13:05:05.287000+00:00,11334,7.022,0.292,1290,31
2026-07-19T13:05:05.679000+00:00,11334,7.386,0.364,1290,55
2026-07-19T13:05:05.834000+00:00,11334,7.534,0.148,1290,6
2026-07-19T13:05:05.938000+00:00,11334,3.619,1.084,1290,44
2026-07-19T13:05:06.265000+00:00,11334,7.974,0.44,1290,11
2026-07-19T13:05:06.468000+00:00,11334,4.068,0.449,1290,30
2026-07-19T13:05:06.657000+00:00,11334,8.382,0.408,1290,77
2026-07-19T13:05:06.916000+00:00,11334,4.581,0.513,1290,41
2026-07-19T13:05:06.922000+00:00,11334,8.641,0.259,1290,14
2026-07-19T13:05:07.385000+00:00,11334,9.086,0.445,1290,18
2026-07-19T13:05:07.488000+00:00,11334,5.154,0.573,1290,43
2026-07-19T13:05:07.557000+00:00,11334,0.621,0.621,1290,16
2026-07-19T13:05:07.641000+00:00,11334,5.314,0.16,1290,5
2026-07-19T13:05:08.048000+00:00,11334,1.099,0.478,1290,3
2026-07-19T13:05:08.159000+00:00,11334,5.839,0.525,1290,1
2026-07-19T13:05:08.491000+00:00,11334,6.151,0.312,1290,10
2026-07-19T13:05:09.157000+00:00,11334,6.827,0.676,1290,23
2026-07-19T13:05:09.461000+00:00,11334,7.135,0.308,1290,27
2026-07-19T13:05:09.477000+00:00,11334,7.157,0.022,1290,87
2026-07-19T13:05:09.524000+00:00,11334,7.202,0.045,1290,31
2026-07-19T13:05:09.540000+00:00,11334,2.584,1.485,1290,81
2026-07-19T13:05:09.930000+00:00,11334,7.603,0.401,1290,6
2026-07-19T13:05:09.961000+00:00,11334,7.622,0.019,1290,55
2026-07-19T13:05:10.553000+00:00,11334,8.207,0.585,1290,11
2026-07-19T13:05:10.703000+00:00,11334,3.75,1.166,1290,44
2026-07-19T13:05:10.987000+00:00,11334,8.649,0.442,1290,77
2026-07-19T13:05:11.227000+00:00,11334,8.892,0.243,1290,14
2026-07-19T13:05:11.299000+00:00,11334,4.345,0.595,1290,30
2026-07-19T13:05:11.721000+00:00,11334,9.392,0.5,1290,18
2026-07-19T13:05:11.848000+00:00,11334,4.897,0.552,1290,41
2026-07-19T13:05:12.126000+00:00,11334,0.751,0.751,1290,16
2026-07-19T13:05:12.466000+00:00,11334,5.523,0.626,1290,43
2026-07-19T13:05:12.599000+00:00,11334,1.24,0.489,1290,3
2026-07-19T13:05:12.733000+00:00,11334,5.788,0.265,1290,5
2026-07-19T13:05:13.154000+00:00,11334,6.197,0.409,1290,1
2026-07-19T13:05:13.563000+00:00,11334,6.627,0.43,1290,10
2026-07-19T13:05:14.058000+00:00,11334,2.692,1.452,1290,81
2026-07-19T13:05:14.190000+00:00,11334,7.236,0.609,1290,23
2026-07-19T13:05:14.511000+00:00,11334,7.572,0.336,1290,27
2026-07-19T13:05:14.747000+00:00,11334,7.8,0.228,1290,87
2026-07-19T13:05:14.887000+00:00,11334,7.954,0.154,1290,31
2026-07-19T13:05:15.253000+00:00,11334,8.301,0.347,1290,6
2026-07-19T13:05:15.315000+00:00,11334,3.905,1.213,1290,44
2026-07-19T13:05:15.523000+00:00,11334,8.58,0.279,1290,55
2026-07-19T13:05:15.888000+00:00,11334,8.952,0.372,1290,11
2026-07-19T13:05:16.002000+00:00,11334,4.64,0.735,1290,30
2026-07-19T13:05:16.157000+00:00,11334,0.841,0.841,1290,16
2026-07-19T13:05:16.257000+00:00,11334,9.323,0.371,1290,77
2026-07-19T13:05:16.586000+00:00,11334,5.211,0.571,1290,41
2026-07-19T13:05:16.657000+00:00,11334,9.705,0.382,1290,14
2026-07-19T13:05:16.783000+00:00,11334,1.421,0.58,1290,3
2026-07-19T13:05:17.046000+00:00,11334,10.086,0.381,1290,18
2026-07-19T13:05:17.086000+00:00,11334,5.735,0.524,1290,43
2026-07-19T13:05:17.487000+00:00,11334,6.129,0.394,1290,5
2026-07-19T13:05:17.893000+00:00,11334,6.534,0.405,1290,1
2026-07-19T13:05:18.192000+00:00,11334,2.841,1.42,1290,81
2026-07-19T13:05:18.366000+00:00,11334,7.002,0.468,1290,10
