lane,meeting_key,session_key,session_name,session_type,applicable,rows,status
intervals,1284,11280,Race,Race,True,25483,pass
position,1284,11280,Race,Race,True,550,pass
stints,1284,11280,Race,Race,True,44,pass
pit,1284,11280,Race,Race,True,22,pass
starting_grid,1284,11280,Race,Race,True,0,zero_rows
drivers,1284,11280,Race,Race,True,22,pass
team_radio,1284,11280,Race,Race,True,0,zero_rows
weather,1285,11281,Practice 1,Practice,True,102,pass
race_control,1285,11281,Practice 1,Practice,True,106,pass
intervals,1285,11281,Practice 1,Practice,True,0,zero_rows
position,1285,11281,Practice 1,Practice,True,843,pass
stints,1285,11281,Practice 1,Practice,True,109,pass
pit,1285,11281,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1285,11281,Practice 1,Practice,True,0,zero_rows
drivers,1285,11281,Practice 1,Practice,True,0,zero_rows
team_radio,1285,11281,Practice 1,Practice,True,0,zero_rows
weather,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
race_control,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
intervals,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
position,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
stints,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
pit,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
starting_grid,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
drivers,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
team_radio,1285,11282,Sprint Qualifying,Qualifying,True,0,zero_rows
weather,1285,11286,Sprint,Race,True,0,zero_rows
race_control,1285,11286,Sprint,Race,True,0,zero_rows
intervals,1285,11286,Sprint,Race,True,0,zero_rows
position,1285,11286,Sprint,Race,True,0,zero_rows
stints,1285,11286,Sprint,Race,True,0,zero_rows
pit,1285,11286,Sprint,Race,True,0,zero_rows
starting_grid,1285,11286,Sprint,Race,True,0,zero_rows
drivers,1285,11286,Sprint,Race,True,0,zero_rows
team_radio,1285,11286,Sprint,Race,True,0,zero_rows
weather,1285,11287,Qualifying,Qualifying,True,0,zero_rows
race_control,1285,11287,Qualifying,Qualifying,True,0,zero_rows
intervals,1285,11287,Qualifying,Qualifying,True,0,zero_rows
position,1285,11287,Qualifying,Qualifying,True,0,zero_rows
stints,1285,11287,Qualifying,Qualifying,True,0,zero_rows
pit,1285,11287,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1285,11287,Qualifying,Qualifying,True,22,pass
drivers,1285,11287,Qualifying,Qualifying,True,22,pass
team_radio,1285,11287,Qualifying,Qualifying,True,19,pass
weather,1285,11291,Race,Race,True,160,pass
