date,session_key,meeting_key,driver_number,gap_to_leader,interval
2026-06-28T13:04:18.673000+00:00,11315,1288,11,6.016,0.313
2026-06-28T13:04:18.923000+00:00,11315,1288,77,6.253,0.237
2026-06-28T13:04:19.016000+00:00,11315,1288,3,2.047,0.391
2026-06-28T13:04:19.216000+00:00,11315,1288,14,6.536,0.283
2026-06-28T13:04:19.384000+00:00,11315,1288,43,6.713,0.177
2026-06-28T13:04:19.384000+00:00,11315,1288,81,2.407,0.36
2026-06-28T13:04:19.654000+00:00,11315,1288,1,2.724,0.317
2026-06-28T13:04:20.158000+00:00,11315,1288,30,3.212,0.488
2026-06-28T13:04:20.250000+00:00,11315,1288,18,7.635,0.922
2026-06-28T13:04:20.466000+00:00,11315,1288,6,3.531,0.319
2026-06-28T13:04:20.765000+00:00,11315,1288,41,3.811,0.28
2026-06-28T13:04:20.969000+00:00,11315,1288,5,4.006,0.195
2026-06-28T13:04:21.316000+00:00,11315,1288,31,4.381,0.375
2026-06-28T13:04:21.719000+00:00,11315,1288,10,4.77,0.389
2026-06-28T13:04:22.179000+00:00,11315,1288,27,5.207,0.437
2026-06-28T13:04:22.442000+00:00,11315,1288,87,5.49,0.283
2026-06-28T13:04:22.756000+00:00,11315,1288,44,0.663,0.663
2026-06-28T13:04:22.878000+00:00,11315,1288,55,5.935,0.445
2026-06-28T13:04:23.193000+00:00,11315,1288,23,6.245,0.31
2026-06-28T13:04:23.436000+00:00,11315,1288,16,1.331,0.668
2026-06-28T13:04:23.520000+00:00,11315,1288,11,6.568,0.323
2026-06-28T13:04:23.762000+00:00,11315,1288,12,1.659,0.328
2026-06-28T13:04:23.864000+00:00,11315,1288,77,6.89,0.322
2026-06-28T13:04:24.090000+00:00,11315,1288,14,7.134,0.244
2026-06-28T13:04:24.287000+00:00,11315,1288,3,2.18,0.521
2026-06-28T13:04:24.340000+00:00,11315,1288,43,7.407,0.273
2026-06-28T13:04:24.681000+00:00,11315,1288,81,2.582,0.402
2026-06-28T13:04:24.963000+00:00,11315,1288,1,2.856,0.274
2026-06-28T13:04:25.187000+00:00,11315,1288,18,8.243,0.836
2026-06-28T13:04:25.302000+00:00,11315,1288,44,0.658,0.658
2026-06-28T13:04:25.405000+00:00,11315,1288,30,3.297,0.441
2026-06-28T13:04:25.800000+00:00,11315,1288,6,3.688,0.391
2026-06-28T13:04:25.944000+00:00,11315,1288,16,1.293,0.635
2026-06-28T13:04:26.128000+00:00,11315,1288,12,1.532,0.239
2026-06-28T13:04:26.146000+00:00,11315,1288,41,4.012,0.324
2026-06-28T13:04:26.404000+00:00,11315,1288,5,4.304,0.292
2026-06-28T13:04:26.664000+00:00,11315,1288,31,4.561,0.257
2026-06-28T13:04:26.799000+00:00,11315,1288,3,2.167,0.635
2026-06-28T13:04:27.019000+00:00,11315,1288,10,4.914,0.353
2026-06-28T13:04:27.280000+00:00,11315,1288,81,2.645,0.478
2026-06-28T13:04:27.516000+00:00,11315,1288,1,2.894,0.249
2026-06-28T13:04:27.573000+00:00,11315,1288,27,5.461,0.547
2026-06-28T13:04:27.903000+00:00,11315,1288,87,5.765,0.304
2026-06-28T13:04:27.952000+00:00,11315,1288,30,3.31,0.416
2026-06-28T13:04:28.329000+00:00,11315,1288,55,6.208,0.443
2026-06-28T13:04:28.368000+00:00,11315,1288,6,3.726,0.416
2026-06-28T13:04:28.545000+00:00,11315,1288,44,0.777,0.777
2026-06-28T13:04:28.638000+00:00,11315,1288,23,6.528,0.32
2026-06-28T13:04:28.686000+00:00,11315,1288,41,4.034,0.308
2026-06-28T13:04:28.949000+00:00,11315,1288,11,6.835,0.307
2026-06-28T13:04:28.966000+00:00,11315,1288,5,4.314,0.28
2026-06-28T13:04:29.237000+00:00,11315,1288,16,1.407,0.63
2026-06-28T13:04:29.244000+00:00,11315,1288,31,4.575,0.261
2026-06-28T13:04:29.595000+00:00,11315,1288,14,7.444,0.609
2026-06-28T13:04:29.605000+00:00,11315,1288,10,4.905,0.33
2026-06-28T13:04:29.610000+00:00,11315,1288,12,1.805,0.398
2026-06-28T13:04:29.665000+00:00,11315,1288,77,7.526,0.082
2026-06-28T13:04:29.766000+00:00,11315,1288,43,7.663,0.137
2026-06-28T13:04:30.030000+00:00,11315,1288,44,0.786,0.786
2026-06-28T13:04:30.174000+00:00,11315,1288,27,5.502,0.597
2026-06-28T13:04:30.226000+00:00,11315,1288,3,2.45,0.645
2026-06-28T13:04:30.369000+00:00,11315,1288,87,5.791,0.289
2026-06-28T13:04:30.647000+00:00,11315,1288,81,2.884,0.434
2026-06-28T13:04:30.693000+00:00,11315,1288,18,8.601,0.938
2026-06-28T13:04:30.705000+00:00,11315,1288,16,1.464,0.678
2026-06-28T13:04:30.851000+00:00,11315,1288,55,6.21,0.419
2026-06-28T13:04:31.004000+00:00,11315,1288,1,3.229,0.345
2026-06-28T13:04:31.114000+00:00,11315,1288,12,1.877,0.413
2026-06-28T13:04:31.213000+00:00,11315,1288,23,6.553,0.343
2026-06-28T13:04:31.461000+00:00,11315,1288,11,,0.282
2026-06-28T13:04:31.492000+00:00,11315,1288,30,3.727,0.498
2026-06-28T13:04:31.740000+00:00,11315,1288,3,2.502,0.625
2026-06-28T13:04:31.868000+00:00,11315,1288,6,4.095,0.368
2026-06-28T13:04:32.086000+00:00,11315,1288,14,7.448,0.613
2026-06-28T13:04:32.230000+00:00,11315,1288,81,2.983,0.481
2026-06-28T13:04:32.272000+00:00,11315,1288,43,7.631,0.183
2026-06-28T13:04:32.333000+00:00,11315,1288,41,4.522,0.427
2026-06-28T13:04:32.372000+00:00,11315,1288,77,7.743,0.112
2026-06-28T13:04:32.556000+00:00,11315,1288,5,4.779,0.257
2026-06-28T13:04:32.564000+00:00,11315,1288,1,3.335,0.352
2026-06-28T13:04:32.814000+00:00,11315,1288,31,5.043,0.264
2026-06-28T13:04:32.998000+00:00,11315,1288,44,0.81,0.81
2026-06-28T13:04:33.157000+00:00,11315,1288,30,3.915,0.58
2026-06-28T13:04:33.169000+00:00,11315,1288,10,5.376,0.333
2026-06-28T13:04:33.382000+00:00,11315,1288,18,8.746,1.003
2026-06-28T13:04:33.504000+00:00,11315,1288,6,4.261,0.346
2026-06-28T13:04:33.656000+00:00,11315,1288,27,5.89,0.514
2026-06-28T13:04:33.712000+00:00,11315,1288,16,1.519,0.709
2026-06-28T13:04:33.901000+00:00,11315,1288,41,4.677,0.416
2026-06-28T13:04:33.989000+00:00,11315,1288,87,6.201,0.311
2026-06-28T13:04:34.175000+00:00,11315,1288,12,1.975,0.456
2026-06-28T13:04:34.221000+00:00,11315,1288,5,4.953,0.276
2026-06-28T13:04:34.397000+00:00,11315,1288,55,6.626,0.425
2026-06-28T13:04:34.479000+00:00,11315,1288,31,5.22,0.267
2026-06-28T13:04:34.777000+00:00,11315,1288,23,7.02,0.394
2026-06-28T13:04:34.789000+00:00,11315,1288,10,5.546,0.326
2026-06-28T13:04:34.819000+00:00,11315,1288,3,2.628,0.653
2026-06-28T13:04:35.006000+00:00,11315,1288,63,0.0,0.0
