date,session_key,driver_number,gap_to_leader,meeting_key,interval
2026-07-26T13:04:27.396000+00:00,11342,31,5.511,1291,0.28
2026-07-26T13:04:27.505000+00:00,11342,12,3.304,1291,0.641
2026-07-26T13:04:27.552000+00:00,11342,77,8.886,1291,0.381
2026-07-26T13:04:27.615000+00:00,11342,5,5.714,1291,0.203
2026-07-26T13:04:27.724000+00:00,11342,41,4.303,1291,0.372
2026-07-26T13:04:27.740000+00:00,11342,6,3.555,1291,0.251
2026-07-26T13:04:27.802000+00:00,11342,1,0.786,1291,0.786
2026-07-26T13:04:28.021000+00:00,11342,11,9.355,1291,0.469
2026-07-26T13:04:28.130000+00:00,11342,30,3.928,1291,0.373
2026-07-26T13:04:28.208000+00:00,11342,27,4.778,1291,
2026-07-26T13:04:28.380000+00:00,11342,43,6.501,1291,0.787
2026-07-26T13:04:28.521000+00:00,11342,41,4.302,1291,0.374
2026-07-26T13:04:28.646000+00:00,11342,14,6.738,1291,0.237
2026-07-26T13:04:28.662000+00:00,11342,3,1.649,1291,0.863
2026-07-26T13:04:28.755000+00:00,11342,10,5.327,1291,0.549
2026-07-26T13:04:28.959000+00:00,11342,87,7.115,1291,0.377
2026-07-26T13:04:28.990000+00:00,11342,27,4.789,1291,0.487
2026-07-26T13:04:29.052000+00:00,11342,31,5.619,1291,0.292
2026-07-26T13:04:29.208000+00:00,11342,44,2.179,1291,0.53
2026-07-26T13:04:29.271000+00:00,11342,5,5.842,1291,0.223
2026-07-26T13:04:29.474000+00:00,11342,55,7.659,1291,0.544
2026-07-26T13:04:29.552000+00:00,11342,10,5.354,1291,0.565
2026-07-26T13:04:29.615000+00:00,11342,16,2.603,1291,0.424
2026-07-26T13:04:29.802000+00:00,11342,23,7.96,1291,0.301
2026-07-26T13:04:29.833000+00:00,11342,31,5.637,1291,0.283
2026-07-26T13:04:29.990000+00:00,11342,43,6.561,1291,0.719
2026-07-26T13:04:30.068000+00:00,11342,5,5.877,1291,0.24
2026-07-26T13:04:30.193000+00:00,11342,18,8.322,1291,0.362
2026-07-26T13:04:30.255000+00:00,11342,14,6.809,1291,0.248
2026-07-26T13:04:30.349000+00:00,11342,12,3.331,1291,0.728
2026-07-26T13:04:30.474000+00:00,11342,6,3.474,1291,0.143
2026-07-26T13:04:30.630000+00:00,11342,63,8.716,1291,0.394
2026-07-26T13:04:30.677000+00:00,11342,87,7.232,1291,0.423
2026-07-26T13:04:30.787000+00:00,11342,43,6.582,1291,0.705
2026-07-26T13:04:30.865000+00:00,11342,30,3.849,1291,0.375
2026-07-26T13:04:30.958000+00:00,11342,77,9.087,1291,0.371
2026-07-26T13:04:31.022000+00:00,11342,14,6.825,1291,0.243
2026-07-26T13:04:31.224000+00:00,11342,41,4.214,1291,0.365
2026-07-26T13:04:31.271000+00:00,11342,55,7.816,1291,0.584
2026-07-26T13:04:31.443000+00:00,11342,87,7.253,1291,0.428
2026-07-26T13:04:31.474000+00:00,11342,11,9.591,1291,0.504
2026-07-26T13:04:31.599000+00:00,11342,23,8.145,1291,0.329
2026-07-26T13:04:31.802000+00:00,11342,27,4.79,1291,0.576
2026-07-26T13:04:31.818000+00:00,11342,18,8.383,1291,0.238
2026-07-26T13:04:32.037000+00:00,11342,55,7.856,1291,0.603
2026-07-26T13:04:32.302000+00:00,11342,63,8.846,1291,0.463
2026-07-26T13:04:32.412000+00:00,11342,23,8.204,1291,0.348
2026-07-26T13:04:32.443000+00:00,11342,10,5.41,1291,0.62
2026-07-26T13:04:32.584000+00:00,11342,18,8.399,1291,0.195
2026-07-26T13:04:32.646000+00:00,11342,31,,1291,0.227
2026-07-26T13:04:32.662000+00:00,11342,77,9.243,1291,0.397
2026-07-26T13:04:32.927000+00:00,11342,5,5.907,1291,0.27
2026-07-26T13:04:33.083000+00:00,11342,63,8.879,1291,0.48
2026-07-26T13:04:33.193000+00:00,11342,11,9.752,1291,0.509
