date,session_key,gap_to_leader,meeting_key,interval,driver_number
2026-09-13T13:04:44.338000+00:00,11369,7.631,1294,1.069,14
2026-09-13T13:04:44.438000+00:00,11369,0.818,1294,0.213,44
2026-09-13T13:04:44.578000+00:00,11369,7.866,1294,0.235,77
2026-09-13T13:04:44.817000+00:00,11369,1.158,1294,0.34,16
2026-09-13T13:04:45.391000+00:00,11369,1.669,1294,0.511,63
2026-09-13T13:04:45.423000+00:00,11369,12.705,1294,5.709,87
2026-09-13T13:04:45.829000+00:00,11369,2.19,1294,0.521,43
2026-09-13T13:04:46.235000+00:00,11369,2.583,1294,0.393,30
2026-09-13T13:04:46.610000+00:00,11369,2.978,1294,0.395,41
2026-09-13T13:04:47.219000+00:00,11369,3.579,1294,0.601,81
2026-09-13T13:04:47.391000+00:00,11369,0.324,1294,0.324,3
2026-09-13T13:04:47.485000+00:00,11369,3.846,1294,0.267,31
2026-09-13T13:04:47.657000+00:00,11369,0.604,1294,0.28,12
2026-09-13T13:04:47.813000+00:00,11369,4.14,1294,0.294,27
2026-09-13T13:04:47.938000+00:00,11369,0.862,1294,0.258,44
2026-09-13T13:04:47.985000+00:00,11369,4.33,1294,0.19,10
2026-09-13T13:04:48.251000+00:00,11369,1.186,1294,0.324,16
2026-09-13T13:04:48.329000+00:00,11369,4.625,1294,0.295,23
2026-09-13T13:04:48.469000+00:00,11369,4.827,1294,0.202,5
2026-09-13T13:04:48.766000+00:00,11369,1.709,1294,0.523,63
2026-09-13T13:04:48.844000+00:00,11369,5.185,1294,0.358,11
2026-09-13T13:04:49.157000+00:00,11369,5.509,1294,0.324,22
2026-09-13T13:04:49.329000+00:00,11369,2.237,1294,0.528,43
2026-09-13T13:04:49.485000+00:00,11369,12.805,1294,4.939,87
2026-09-13T13:04:49.594000+00:00,11369,5.944,1294,0.435,55
2026-09-13T13:04:49.657000+00:00,11369,2.594,1294,0.357,30
2026-09-13T13:04:50.048000+00:00,11369,2.943,1294,0.349,41
2026-09-13T13:04:50.313000+00:00,11369,6.674,1294,0.73,18
2026-09-13T13:04:50.704000+00:00,11369,3.618,1294,0.675,81
2026-09-13T13:04:50.985000+00:00,11369,3.897,1294,0.279,31
2026-09-13T13:04:51.251000+00:00,11369,4.181,1294,0.284,27
2026-09-13T13:04:51.637000+00:00,11369,4.56,1294,0.379,10
2026-09-13T13:04:51.917000+00:00,11369,4.856,1294,0.296,23
2026-09-13T13:04:51.939000+00:00,11369,8.306,1294,1.632,14
2026-09-13T13:04:52.134000+00:00,11369,5.04,1294,0.184,5
2026-09-13T13:04:52.417000+00:00,11369,8.766,1294,0.46,77
2026-09-13T13:04:52.474000+00:00,11369,0.508,1294,0.508,3
2026-09-13T13:04:52.533000+00:00,11369,5.468,1294,0.428,11
2026-09-13T13:04:52.756000+00:00,11369,5.691,1294,0.223,22
2026-09-13T13:04:52.855000+00:00,11369,0.872,1294,0.364,12
2026-09-13T13:04:53.049000+00:00,11369,1.075,1294,0.203,44
2026-09-13T13:04:53.190000+00:00,11369,6.128,1294,0.437,55
2026-09-13T13:04:53.517000+00:00,11369,1.537,1294,0.462,16
2026-09-13T13:04:53.832000+00:00,11369,6.778,1294,0.65,18
2026-09-13T13:04:53.938000+00:00,11369,1.974,1294,0.437,63
2026-09-13T13:04:54.574000+00:00,11369,2.596,1294,0.622,43
2026-09-13T13:04:55.080000+00:00,11369,2.982,1294,0.386,30
2026-09-13T13:04:55.327000+00:00,11369,3.339,1294,0.357,41
2026-09-13T13:04:55.638000+00:00,11369,8.538,1294,1.76,14
2026-09-13T13:04:55.799000+00:00,11369,3.822,1294,0.483,81
2026-09-13T13:04:55.978000+00:00,11369,8.93,1294,0.392,77
2026-09-13T13:04:56.175000+00:00,11369,4.202,1294,0.38,31
2026-09-13T13:04:56.276000+00:00,11369,12.632,1294,3.866,87
2026-09-13T13:04:56.438000+00:00,11369,4.467,1294,0.265,27
2026-09-13T13:04:57.076000+00:00,11369,5.12,1294,0.653,10
2026-09-13T13:04:57.403000+00:00,11369,5.442,1294,0.322,23
2026-09-13T13:04:57.691000+00:00,11369,5.705,1294,0.263,5
2026-09-13T13:04:58.132000+00:00,11369,6.157,1294,0.452,11
2026-09-13T13:04:58.487000+00:00,11369,6.509,1294,0.352,22
2026-09-13T13:04:58.789000+00:00,11369,6.82,1294,0.311,55
2026-09-13T13:04:59.215000+00:00,11369,7.254,1294,0.434,18
2026-09-13T13:04:59.743000+00:00,11369,12.658,1294,3.728,87
2026-09-13T13:05:00.570000+00:00,11369,0.428,1294,0.428,3
2026-09-13T13:05:00.757000+00:00,11369,8.796,1294,1.542,14
2026-09-13T13:05:00.909000+00:00,11369,0.776,1294,0.348,12
2026-09-13T13:05:01.475000+00:00,11369,1.342,1294,0.566,44
2026-09-13T13:05:01.516000+00:00,11369,9.525,1294,0.729,77
2026-09-13T13:05:01.853000+00:00,11369,1.707,1294,0.365,16
2026-09-13T13:05:02.184000+00:00,11369,2.023,1294,0.316,63
2026-09-13T13:05:02.956000+00:00,11369,2.82,1294,0.797,43
2026-09-13T13:05:03.276000+00:00,11369,3.134,1294,0.314,30
2026-09-13T13:05:03.428000+00:00,11369,0.335,1294,0.335,3
2026-09-13T13:05:03.817000+00:00,11369,3.681,1294,0.547,41
2026-09-13T13:05:03.911000+00:00,11369,0.884,1294,0.549,12
2026-09-13T13:05:04.179000+00:00,11369,4.033,1294,0.352,81
2026-09-13T13:05:04.517000+00:00,11369,4.367,1294,0.334,31
2026-09-13T13:05:04.575000+00:00,11369,1.486,1294,0.602,44
2026-09-13T13:05:04.674000+00:00,11369,4.54,1294,0.173,27
2026-09-13T13:05:04.932000+00:00,11369,12.943,1294,3.418,87
2026-09-13T13:05:04.938000+00:00,11369,1.839,1294,0.353,16
2026-09-13T13:05:05.242000+00:00,11369,2.16,1294,0.321,63
2026-09-13T13:05:05.254000+00:00,11369,5.113,1294,0.573,10
2026-09-13T13:05:05.801000+00:00,11369,5.67,1294,0.557,23
2026-09-13T13:05:05.973000+00:00,11369,5.83,1294,0.16,5
2026-09-13T13:05:06.004000+00:00,11369,2.937,1294,0.777,43
2026-09-13T13:05:06.332000+00:00,11369,3.264,1294,0.327,30
2026-09-13T13:05:06.598000+00:00,11369,6.451,1294,0.621,11
2026-09-13T13:05:06.692000+00:00,11369,0.548,1294,0.548,3
2026-09-13T13:05:06.785000+00:00,11369,3.693,1294,0.429,41
2026-09-13T13:05:07.004000+00:00,11369,6.869,1294,0.418,22
2026-09-13T13:05:07.155000+00:00,11369,4.076,1294,0.383,81
2026-09-13T13:05:07.166000+00:00,11369,1.037,1294,0.489,12
2026-09-13T13:05:07.431000+00:00,11369,4.383,1294,0.307,31
2026-09-13T13:05:07.509000+00:00,11369,7.367,1294,0.498,55
2026-09-13T13:05:07.785000+00:00,11369,4.713,1294,0.33,27
2026-09-13T13:05:07.805000+00:00,11369,1.652,1294,0.615,44
2026-09-13T13:05:08.181000+00:00,11369,8.029,1294,0.662,18
2026-09-13T13:05:08.241000+00:00,11369,2.092,1294,0.44,16
2026-09-13T13:05:08.392000+00:00,11369,5.214,1294,0.501,10
2026-09-13T13:05:08.528000+00:00,11369,2.387,1294,0.295,63
2026-09-13T13:05:08.874000+00:00,11369,5.781,1294,0.567,23
2026-09-13T13:05:09.136000+00:00,11369,8.989,1294,0.96,14
2026-09-13T13:05:09.152000+00:00,11369,6.048,1294,0.267,5
2026-09-13T13:05:09.308000+00:00,11369,3.164,1294,,43
2026-09-13T13:05:09.738000+00:00,11369,3.598,1294,0.434,30
2026-09-13T13:05:09.817000+00:00,11369,6.717,1294,0.669,11
2026-09-13T13:05:09.971000+00:00,11369,0.618,1294,0.618,3
2026-09-13T13:05:10.105000+00:00,11369,3.962,1294,0.364,41
2026-09-13T13:05:10.112000+00:00,11369,9.975,1294,0.986,77
2026-09-13T13:05:10.154000+00:00,11369,7.07,1294,0.353,22
2026-09-13T13:05:10.419000+00:00,11369,1.076,1294,0.458,12
2026-09-13T13:05:10.467000+00:00,11369,4.331,1294,0.369,81
