date,session_key,gap_to_leader,interval,driver_number,meeting_key
2026-08-23T13:04:13.109000+00:00,11353,1.288,0.762,63,1292
2026-08-23T13:04:13.323000+00:00,11353,4.752,0.355,22,1292
2026-08-23T13:04:13.748000+00:00,11353,5.147,0.395,43,1292
2026-08-23T13:04:13.889000+00:00,11353,5.288,0.141,5,1292
2026-08-23T13:04:13.968000+00:00,11353,2.096,0.808,16,1292
2026-08-23T13:04:14.148000+00:00,11353,5.506,0.218,27,1292
2026-08-23T13:04:14.308000+00:00,11353,2.482,0.386,81,1292
2026-08-23T13:04:14.329000+00:00,11353,5.704,0.198,23,1292
2026-08-23T13:04:14.643000+00:00,11353,2.796,0.314,44,1292
2026-08-23T13:04:14.667000+00:00,11353,6.077,0.373,31,1292
2026-08-23T13:04:14.958000+00:00,11353,6.342,0.265,14,1292
2026-08-23T13:04:15.067000+00:00,11353,3.236,0.44,3,1292
2026-08-23T13:04:15.148000+00:00,11353,6.57,0.228,18,1292
2026-08-23T13:04:15.406000+00:00,11353,6.84,0.27,87,1292
2026-08-23T13:04:15.522000+00:00,11353,10.936,3.544,11,1292
2026-08-23T13:04:15.678000+00:00,11353,3.84,0.604,30,1292
2026-08-23T13:04:15.959000+00:00,11353,7.36,0.52,55,1292
2026-08-23T13:04:16.131000+00:00,11353,4.328,0.488,10,1292
2026-08-23T13:04:16.459000+00:00,11353,4.644,0.316,41,1292
2026-08-23T13:04:16.475000+00:00,11353,7.889,0.529,77,1292
2026-08-23T13:04:16.769000+00:00,11353,0.608,0.608,12,1292
2026-08-23T13:04:16.796000+00:00,11353,4.984,0.34,22,1292
2026-08-23T13:04:17.189000+00:00,11353,5.366,0.382,43,1292
2026-08-23T13:04:17.563000+00:00,11353,5.736,0.37,5,1292
2026-08-23T13:04:17.624000+00:00,11353,1.459,0.851,63,1292
2026-08-23T13:04:17.768000+00:00,11353,5.935,0.199,27,1292
2026-08-23T13:04:18.036000+00:00,11353,6.213,0.278,23,1292
2026-08-23T13:04:18.394000+00:00,11353,2.228,0.769,16,1292
2026-08-23T13:04:18.408000+00:00,11353,6.612,0.399,31,1292
2026-08-23T13:04:18.737000+00:00,11353,6.912,0.3,14,1292
2026-08-23T13:04:18.884000+00:00,11353,2.701,0.473,81,1292
2026-08-23T13:04:19.009000+00:00,11353,7.18,0.268,87,1292
2026-08-23T13:04:19.067000+00:00,11353,7.188,0.008,18,1292
2026-08-23T13:04:19.248000+00:00,11353,3.055,0.354,44,1292
2026-08-23T13:04:19.589000+00:00,11353,0.533,0.533,12,1292
2026-08-23T13:04:19.606000+00:00,11353,7.759,0.571,55,1292
2026-08-23T13:04:19.703000+00:00,11353,3.509,0.454,3,1292
2026-08-23T13:04:19.722000+00:00,11353,11.15,3.261,11,1292
2026-08-23T13:04:20.167000+00:00,11353,8.353,0.594,77,1292
2026-08-23T13:04:20.336000+00:00,11353,4.15,0.641,30,1292
2026-08-23T13:04:20.410000+00:00,11353,1.386,0.853,63,1292
2026-08-23T13:04:20.838000+00:00,11353,4.639,0.489,10,1292
2026-08-23T13:04:21.190000+00:00,11353,5.024,0.385,41,1292
2026-08-23T13:04:21.322000+00:00,11353,2.267,0.881,16,1292
2026-08-23T13:04:21.549000+00:00,11353,5.369,0.345,22,1292
2026-08-23T13:04:21.959000+00:00,11353,2.794,0.527,81,1292
2026-08-23T13:04:22.089000+00:00,11353,5.798,0.429,43,1292
2026-08-23T13:04:22.207000+00:00,11353,3.147,0.353,44,1292
2026-08-23T13:04:22.467000+00:00,11353,6.23,0.432,5,1292
2026-08-23T13:04:22.584000+00:00,11353,0.556,0.556,12,1292
2026-08-23T13:04:22.615000+00:00,11353,6.416,0.186,27,1292
2026-08-23T13:04:22.631000+00:00,11353,3.604,0.457,3,1292
2026-08-23T13:04:23.022000+00:00,11353,6.852,0.436,23,1292
2026-08-23T13:04:23.242000+00:00,11353,11.418,3.065,11,1292
2026-08-23T13:04:23.287000+00:00,11353,7.097,0.245,31,1292
2026-08-23T13:04:23.366000+00:00,11353,4.315,0.711,30,1292
2026-08-23T13:04:23.428000+00:00,11353,1.398,0.842,63,1292
2026-08-23T13:04:23.522000+00:00,11353,7.321,0.224,14,1292
2026-08-23T13:04:23.756000+00:00,11353,4.726,0.411,10,1292
2026-08-23T13:04:23.881000+00:00,11353,7.715,0.394,18,1292
2026-08-23T13:04:23.959000+00:00,11353,7.764,0.049,87,1292
2026-08-23T13:04:24.084000+00:00,11353,5.065,0.339,41,1292
2026-08-23T13:04:24.334000+00:00,11353,2.284,0.886,16,1292
2026-08-23T13:04:24.412000+00:00,11353,8.246,0.482,55,1292
2026-08-23T13:04:24.506000+00:00,11353,5.451,0.386,22,1292
2026-08-23T13:04:24.866000+00:00,11353,2.876,0.592,81,1292
2026-08-23T13:04:24.975000+00:00,11353,5.916,0.465,43,1292
2026-08-23T13:04:24.990000+00:00,11353,8.835,0.589,77,1292
2026-08-23T13:04:25.270000+00:00,11353,3.252,0.376,44,1292
2026-08-23T13:04:25.458000+00:00,11353,6.404,0.488,5,1292
2026-08-23T13:04:25.690000+00:00,11353,6.681,0.277,27,1292
2026-08-23T13:04:25.796000+00:00,11353,3.77,0.518,3,1292
2026-08-23T13:04:26.076000+00:00,11353,7.036,0.355,23,1292
2026-08-23T13:04:26.406000+00:00,11353,7.343,0.307,31,1292
2026-08-23T13:04:26.484000+00:00,11353,4.46,0.69,30,1292
2026-08-23T13:04:26.562000+00:00,11353,7.493,0.15,14,1292
2026-08-23T13:04:26.812000+00:00,11353,7.758,0.265,18,1292
2026-08-23T13:04:26.906000+00:00,11353,4.877,0.417,10,1292
2026-08-23T13:04:26.968000+00:00,11353,7.869,0.111,87,1292
2026-08-23T13:04:27.500000+00:00,11353,8.46,0.591,55,1292
2026-08-23T13:04:27.500000+00:00,11353,5.458,0.581,41,1292
2026-08-23T13:04:27.703000+00:00,11353,0.637,0.637,12,1292
2026-08-23T13:04:27.718000+00:00,11353,5.707,0.249,22,1292
2026-08-23T13:04:27.875000+00:00,11353,11.707,2.872,11,1292
2026-08-23T13:04:28.140000+00:00,11353,6.12,0.413,43,1292
2026-08-23T13:04:28.265000+00:00,11353,9.242,0.782,77,1292
2026-08-23T13:04:28.500000+00:00,11353,1.426,0.789,63,1292
2026-08-23T13:04:28.656000+00:00,11353,6.624,0.504,5,1292
2026-08-23T13:04:29.047000+00:00,11353,7.04,0.416,27,1292
2026-08-23T13:04:29.359000+00:00,11353,7.317,0.277,23,1292
2026-08-23T13:04:29.390000+00:00,11353,2.331,0.905,16,1292
2026-08-23T13:04:29.765000+00:00,11353,7.738,0.421,31,1292
2026-08-23T13:04:29.922000+00:00,11353,7.896,0.158,14,1292
2026-08-23T13:04:29.984000+00:00,11353,2.902,0.571,81,1292
2026-08-23T13:04:30.306000+00:00,11353,8.267,0.371,18,1292
2026-08-23T13:04:30.438000+00:00,11353,3.365,0.463,44,1292
2026-08-23T13:04:30.528000+00:00,11353,8.466,0.199,87,1292
2026-08-23T13:04:30.753000+00:00,11353,0.642,0.642,12,1292
2026-08-23T13:04:30.847000+00:00,11353,8.83,0.364,55,1292
2026-08-23T13:04:30.878000+00:00,11353,3.831,0.466,3,1292
2026-08-23T13:04:30.909000+00:00,11353,11.859,2.617,11,1292
2026-08-23T13:04:31.519000+00:00,11353,1.406,0.764,63,1292
2026-08-23T13:04:31.566000+00:00,11353,4.503,0.672,30,1292
2026-08-23T13:04:31.581000+00:00,11353,9.57,0.74,77,1292
2026-08-23T13:04:32.034000+00:00,11353,4.966,0.463,10,1292
2026-08-23T13:04:32.331000+00:00,11353,2.224,0.818,16,1292
2026-08-23T13:04:32.519000+00:00,11353,5.454,0.488,41,1292
2026-08-23T13:04:32.878000+00:00,11353,5.806,0.352,22,1292
2026-08-23T13:04:33.175000+00:00,11353,3.072,0.848,81,1292
2026-08-23T13:04:33.237000+00:00,11353,6.182,0.376,43,1292
2026-08-23T13:04:33.628000+00:00,11353,3.514,0.442,44,1292
2026-08-23T13:04:33.909000+00:00,11353,6.822,0.64,5,1292
2026-08-23T13:04:34.144000+00:00,11353,12.132,2.562,11,1292
2026-08-23T13:04:34.191000+00:00,11353,4.072,0.558,3,1292
2026-08-23T13:04:34.253000+00:00,11353,7.184,0.362,27,1292
2026-08-23T13:04:34.441000+00:00,11353,7.401,0.217,23,1292
2026-08-23T13:04:34.831000+00:00,11353,4.728,0.656,30,1292
2026-08-23T13:04:34.925000+00:00,11353,7.858,0.457,31,1292
2026-08-23T13:04:35.128000+00:00,11353,8.074,0.216,14,1292
2026-08-23T13:04:35.253000+00:00,11353,5.141,0.413,10,1292
2026-08-23T13:04:35.550000+00:00,11353,8.49,0.416,18,1292
2026-08-23T13:04:35.597000+00:00,11353,8.524,0.034,87,1292
2026-08-23T13:04:35.722000+00:00,11353,5.586,0.445,41,1292
2026-08-23T13:04:35.956000+00:00,11353,0.593,0.593,12,1292
2026-08-23T13:04:36.034000+00:00,11353,8.978,0.454,55,1292
2026-08-23T13:04:36.237000+00:00,11353,6.126,0.54,22,1292
2026-08-23T13:04:36.691000+00:00,11353,6.553,0.427,43,1292
2026-08-23T13:04:36.706000+00:00,11353,1.332,0.739,63,1292
2026-08-23T13:04:36.784000+00:00,11353,9.727,0.749,77,1292
2026-08-23T13:04:37.269000+00:00,11353,7.154,0.601,5,1292
2026-08-23T13:04:37.597000+00:00,11353,2.219,0.887,16,1292
2026-08-23T13:04:37.737000+00:00,11353,7.626,0.472,27,1292
2026-08-23T13:04:38.081000+00:00,11353,7.965,0.339,23,1292
2026-08-23T13:04:38.487000+00:00,11353,8.36,0.395,31,1292
2026-08-23T13:04:38.519000+00:00,11353,3.136,0.917,81,1292
2026-08-23T13:04:38.816000+00:00,11353,8.675,0.315,14,1292
2026-08-23T13:04:38.987000+00:00,11353,3.63,0.494,44,1292
2026-08-23T13:04:39.050000+00:00,11353,8.929,0.254,87,1292
2026-08-23T13:04:39.159000+00:00,11353,9.018,0.089,18,1292
2026-08-23T13:04:39.316000+00:00,11353,12.251,2.524,11,1292
2026-08-23T13:04:39.659000+00:00,11353,4.294,0.664,3,1292
2026-08-23T13:04:39.659000+00:00,11353,9.536,0.518,55,1292
2026-08-23T13:04:40.163000+00:00,11353,0.59,0.59,12,1292
