date,session_key,meeting_key,driver_number,gap_to_leader,interval,source_closure_retrieved_utc
2026-07-04T11:04:34.655000+00:00,11321,1289,55,4.244,0.079,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.923000+00:00,11321,1289,5,4.588,0.344,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.185000+00:00,11321,1289,23,10.53,5.046,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.240000+00:00,11321,1289,14,4.883,0.295,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.599000+00:00,11321,1289,18,5.273,0.39,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.607000+00:00,11321,1289,12,0.428,0.428,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.768000+00:00,11321,1289,11,5.436,0.163,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:35.845000+00:00,11321,1289,1,0.672,0.244,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:36.002000+00:00,11321,1289,77,5.731,0.295,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:36.236000+00:00,11321,1289,81,1.05,0.378,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:36.580000+00:00,11321,1289,63,1.415,0.365,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:36.861000+00:00,11321,1289,3,1.709,0.294,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:37.369000+00:00,11321,1289,16,2.207,0.498,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:37.466000+00:00,11321,1289,10,2.307,0.1,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:37.969000+00:00,11321,1289,43,2.809,,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:38.290000+00:00,11321,1289,41,3.112,0.303,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:38.334000+00:00,11321,1289,30,3.163,0.051,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:38.616000+00:00,11321,1289,6,3.443,0.28,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:38.790000+00:00,11321,1289,87,3.611,0.168,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:39.314000+00:00,11321,1289,23,10.305,4.742,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:39.595000+00:00,11321,1289,27,4.449,0.838,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.064000+00:00,11321,1289,31,4.862,0.413,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.236000+00:00,11321,1289,55,5.042,0.18,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.455000+00:00,11321,1289,5,5.306,0.264,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.627000+00:00,11321,1289,23,10.313,4.582,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.861000+00:00,11321,1289,14,5.708,0.402,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:40.908000+00:00,11321,1289,12,0.582,0.582,2026-08-23T07:52:07.178280Z
